x,y
65,89
62,90
60,90
58,91
56,93
55,96
54,98
54,100
54,103
54,105
54,108
54,110
55,112
57,114
58,116
60,119
62,120
64,121
66,122
68,123
71,122
73,121
75,119
77,118
78,116
79,114
80,111
81,109
82,107
82,104
81,102
80,100
79,97
78,95
78,93
75,91
73,90
71,89
71,92
72,94
74,95
75,97
76,100
77,102
77,104
77,107
77,109
76,111
74,114
73,115
71,117
69,119
67,118
64,117
63,115
61,113
60,111
59,109
58,106
58,104
57,102
58,99
59,97
60,95
61,96
61,98
61,101
61,103
62,106
63,108
64,110
65,112
67,114
69,114
71,113
73,111
74,109
74,106
74,104
73,101
72,99
71,97
69,95
69,97
68,99
69,101
70,104
70,106
70,108
67,109
66,107
65,105
64,102
64,100
64,97
64,95
66,93
67,91
68,89
67,87
65,86
63,86
60,86
58,84
56,84
53,83
51,82
49,83
46,84
44,85
43,87
42,89
41,91
40,94
39,96
38,99
38,101
37,103
36,106
35,108
34,110
33,112
31,114
29,115
27,116
24,117
23,117
26,117
28,116
31,116
32,114
34,112
35,110
36,108
37,105
37,103
38,100
38,98
38,95
39,93
41,91
42,89
44,87
45,85
47,84
49,82
51,83
54,84
56,85
56,82
56,80
55,77
54,75
53,73
50,73
48,72
45,72
43,73
40,74
38,74
36,76
34,77
32,79
31,81
29,83
28,85
26,87
25,89
23,91
21,92
19,93
17,94
19,93
22,92
24,91
26,90
27,87
27,85
28,83
30,81
32,80
34,78
36,77
38,75
40,74
42,72
44,72
47,72
49,73
51,74
53,72
55,70
55,68
55,65
52,65
50,64
48,63
46,61
44,59
42,58
41,56
39,54
38,51
37,49
35,48
33,46
31,44
29,43
27,43
24,42
24,41
26,42
29,43
31,43
33,45
34,47
35,49
37,51
39,53
40,54
42,56
43,58
44,61
46,63
48,64
50,64
53,64
55,64
57,63
59,61
59,60
57,58
55,57
54,55
52,53
52,50
52,48
52,45
52,43
53,40
54,38
55,36
57,34
56,32
55,30
53,28
52,26
50,24
49,22
48,20
47,18
49,16
51,14
53,13
53,12
51,14
50,16
49,18
50,20
51,23
52,25
53,27
54,29
55,32
56,33
58,32
61,31
63,30
66,30
68,30
70,30
73,31
75,32
77,33
79,33
80,31
82,29
83,27
84,25
86,23
87,21
88,19
86,17
84,15
83,13
83,13
85,15
87,17
88,18
86,20
85,22
83,25
82,27
81,29
80,31
80,34
79,36
79,38
81,40
82,42
82,45
82,47
81,50
80,52
79,54
78,57
77,58
75,60
76,62
78,64
79,65
82,65
84,64
87,63
89,62
91,61
93,60
94,57
95,55
96,53
98,51
99,49
100,47
102,45
104,44
106,43
109,42
111,42
111,42
109,42
106,43
104,43
102,45
101,47
100,50
98,51
96,53
95,55
93,57
92,59
90,61
88,63
87,64
84,64
82,64
80,66
80,68
79,71
82,71
84,72
87,72
89,72
92,72
94,73
96,74
98,76
100,77
102,79
104,81
105,83
107,85
108,87
110,89
111,91
113,92
115,93
118,94
116,93
113,93
111,91
110,89
109,87
107,85
105,84
104,82
102,80
101,78
99,76
97,75
95,74
92,74
90,74
87,73
85,73
82,73
80,73
79,75
78,77
78,80
77,82
79,82
82,82
84,82
87,82
89,84
91,85
93,87
94,89
94,91
95,94
96,96
96,98
97,101
98,103
99,106
99,108
101,110
102,112
104,114
106,115
108,116
110,117
111,117
109,116
106,116
104,116
102,114
101,112
100,110
99,107
99,105
99,102
98,100
96,98
95,96
94,93
94,91
94,88
93,87
91,86
89,85
86,84
84,83
82,82
79,81
77,83
75,84
73,85
70,85
68,85
65,84
63,84
61,82
59,81
58,79
58,76
57,74
57,71
58,69
59,66
60,64
62,62
61,60
60,58
59,56
57,54
56,52
55,50
54,48
54,45
55,43
56,41
57,39
59,37
61,35
63,34
65,33
67,33
70,33
72,34
74,35
76,37
77,39
78,41
79,44
79,46
78,48
77,51
76,53
75,55
74,58
73,60
73,62
75,64
76,66
76,69
77,71
77,74
77,76
76,78
74,80
72,81
70,82
67,81
65,80
63,79
61,77
61,75
61,72
62,70
63,68
65,66
65,64
64,61
64,59
63,56
62,54
60,52
59,50
58,48
57,46
58,44
59,41
60,39
62,38
65,37
67,37
70,38
72,39
74,41
76,42
76,45
76,47
75,49
73,51
72,53
71,56
70,58
69,60
70,62
72,64
73,66
74,69
75,71
75,73
74,76
73,78
71,79
69,79
66,78
65,76
64,74
65,72
66,69
67,67
67,64
67,62
66,60
65,57
65,55
64,52
63,50
61,49
60,47
60,44
61,42
63,41
66,41
68,41
71,42
73,43
74,45
73,46
70,46
68,45
66,44
64,45
64,47
66,48
68,48
71,48
72,50
71,51
68,51
67,52
67,55
68,57
68,60
69,62
70,65
71,67
72,69
73,71
73,74
72,76
69,76
67,75
66,73
67,71
69,69
71,71
71,72
