x,y
0,0
-3,5
6,-3
-1,7
8,-1
2,9
10,1
4,11
13,3
6,13
15,5
9,15
17,7
11,17
20,9
13,19
22,11
16,21
25,13
18,23
27,15
21,25
29,17
23,27
32,19
25,29
34,21
28,31
36,23
30,33
39,25
32,35
41,27
35,37
44,29
37,39
46,31
40,41
48,33
42,43
51,35
44,45
53,37
47,47
55,38
49,49
58,40
51,51
60,42
54,53
63,44
56,55
65,46
59,57
67,48
61,59
70,50
63,60
72,52
66,62
74,54
68,64
77,56
70,66
79,58
73,68
82,60
75,70
84,62
78,72
86,64
80,74
89,66
86,71
87,73
82,81
95,68
84,84
99,69
86,87
102,71
88,90
105,72
90,93
108,74
92,95
110,75
94,98
113,77
96,100
116,79
99,102
118,81
101,104
121,84
104,106
123,86
107,108
125,88
110,109
127,91
113,111
129,94
116,112
131,96
119,114
133,99
207,9
203,5
209,15
200,7
207,17
198,9
205,19
196,11
202,21
193,13
200,23
191,15
197,25
189,17
195,27
186,19
193,29
184,21
190,31
181,23
188,33
179,25
186,35
177,27
183,37
174,29
181,39
172,31
178,41
170,33
176,43
167,35
174,45
165,37
171,47
162,39
169,49
160,41
167,51
158,43
164,53
155,45
162,55
153,47
159,57
151,49
157,59
148,51
155,61
146,53
152,63
143,54
150,65
141,56
148,67
139,58
145,69
136,60
143,71
134,62
140,73
132,64
138,75
129,66
136,77
127,68
133,78
124,70
131,80
122,72
129,82
120,74
126,84
122,80
120,82
131,109
128,114
136,106
130,116
139,108
132,118
141,110
135,120
144,112
137,122
146,114
140,124
148,116
142,126
151,118
144,128
153,120
147,130
156,122
149,132
158,124
151,134
160,126
154,136
163,128
156,138
165,130
159,140
167,132
161,142
170,134
163,144
172,136
166,146
175,138
168,148
177,140
170,150
179,142
173,152
182,144
175,154
184,146
178,156
186,148
180,158
189,150
182,160
191,152
185,162
194,154
187,164
196,155
189,166
198,157
192,168
201,159
194,170
203,161
197,172
205,163
199,174
208,165
201,176
210,167
204,177
213,169
206,179
215,171
208,181
217,173
211,183
220,175
216,180
218,182
243,166
254,181
240,167
252,184
237,169
250,187
234,170
248,190
231,171
246,193
228,173
244,195
225,175
242,197
223,177
239,200
220,179
237,202
218,181
234,204
215,183
232,205
213,186
229,207
211,188
226,209
209,191
223,210
207,194
220,211
205,196
217,213
251,173
255,177
249,167
258,175
251,165
260,173
254,163
262,171
256,161
265,169
258,159
267,167
261,157
270,165
263,155
272,163
266,153
274,161
268,151
277,159
270,149
279,157
273,147
281,155
275,145
284,153
277,143
286,151
280,141
289,149
282,139
291,147
285,137
293,145
287,135
296,143
289,133
298,141
292,131
300,139
294,129
303,137
296,127
305,135
299,125
308,133
301,123
310,131
304,121
312,129
306,119
315,127
308,117
317,125
311,115
319,123
313,113
322,121
315,111
324,119
318,109
327,117
320,107
329,115
323,105
331,113
328,108
329,107
218,0
215,5
224,-3
217,7
226,-1
220,9
229,1
222,11
231,3
224,13
233,5
227,15
236,7
229,17
238,9
232,19
240,11
234,21
243,13
236,23
245,15
239,25
248,17
241,27
250,19
243,29
252,21
246,31
255,23
248,33
257,25
251,35
259,27
253,37
262,29
255,39
264,31
258,41
267,33
260,43
269,35
262,45
271,37
265,47
274,38
267,49
276,40
270,51
278,42
272,53
281,44
274,55
283,46
277,57
286,48
279,59
288,50
281,60
290,52
284,62
293,54
286,64
295,56
289,66
297,58
291,68
300,60
293,70
302,62
296,72
305,64
298,74
307,66
304,71
305,73
300,81
314,68
302,84
317,69
304,87
320,71
306,90
323,72
308,93
326,74
310,95
329,75
312,98
331,77
315,100
334,79
317,102
336,81
320,104
339,84
322,106
341,86
325,108
343,88
328,109
345,91
