x,y
20,490
45,490
70,490
95,490
120,490
145,490
170,490
195,490
220,490
245,490
270,490
295,490
320,490
345,490
370,490
395,490
420,490
445,490
470,490
67,490
65,407
73,351
82,297
90,244
99,192
96,209
96,209
99,192
96,209
95,218
99,192
95,218
91,211
99,192
91,211
99,214
99,192
99,214
90,214
99,192
90,214
99,217
99,192
99,217
91,217
99,192
90,244
82,297
73,351
65,407
53,358
93,333
77,337
77,337
93,333
77,337
66,342
93,333
66,342
71,333
93,333
71,333
74,346
93,333
74,346
67,336
93,333
67,336
78,344
93,333
78,344
69,346
93,333
53,358
65,407
67,490
75,440
37,413
50,423
50,423
37,413
50,423
59,412
37,413
59,412
60,426
37,413
60,426
65,415
37,413
65,415
53,414
37,413
53,414
64,421
37,413
64,421
55,430
37,413
75,440
67,490
476,490
438,491
449,476
449,476
438,491
449,476
458,490
438,491
458,490
462,472
438,491
462,472
451,486
438,491
451,486
467,478
438,491
467,478
456,468
438,491
456,468
461,484
438,491
476,490
514,439
553,389
541,338
528,288
569,260
553,267
553,267
569,260
553,267
546,272
569,260
546,272
548,264
569,260
548,264
543,270
569,260
543,270
552,273
569,260
552,273
546,267
569,260
546,267
549,275
569,260
528,288
541,338
553,389
543,424
534,460
536,444
536,444
534,460
536,444
543,440
534,460
543,440
536,435
534,460
536,435
531,440
534,460
531,440
541,437
534,460
541,437
531,436
534,460
531,436
536,429
534,460
543,424
553,389
514,439
476,490
490,522
504,556
517,592
529,629
524,613
524,613
529,629
524,613
529,603
529,629
529,603
518,606
529,629
518,606
529,609
529,629
529,609
522,602
529,629
522,602
517,610
529,629
517,610
525,606
529,629
517,592
504,556
490,522
476,490
230,490
262,445
294,401
335,382
319,382
319,382
335,382
319,382
314,392
335,382
314,392
313,378
335,382
313,378
307,386
335,382
307,386
319,390
335,382
319,390
309,390
335,382
309,390
308,380
335,382
294,401
290,364
289,404
289,387
289,387
289,404
289,387
295,378
289,404
295,378
285,379
289,404
285,379
295,383
289,404
295,383
288,376
289,404
288,376
282,383
289,404
282,383
291,380
289,404
290,364
288,315
333,304
316,304
316,304
333,304
316,304
308,308
333,304
308,308
309,300
333,304
309,300
306,305
333,304
306,305
312,300
333,304
312,300
313,307
333,304
313,307
310,312
333,304
288,315
290,364
294,401
262,445
230,490
315,490
313,525
310,561
307,599
304,638
306,621
306,621
304,638
306,621
301,613
304,638
301,613
311,618
304,638
311,618
309,611
304,638
309,611
301,617
304,638
301,617
312,614
304,638
312,614
304,612
304,638
307,599
310,561
313,525
315,490
298,444
281,399
263,371
237,315
197,288
212,295
212,295
197,288
212,295
219,300
197,288
219,300
218,292
197,288
218,292
221,298
197,288
221,298
213,301
197,288
213,301
220,294
197,288
220,294
217,302
197,288
237,315
197,288
212,295
212,295
197,288
212,295
219,300
197,288
219,300
218,292
197,288
218,292
221,298
197,288
221,298
213,301
197,288
213,301
220,294
197,288
220,294
217,302
197,288
237,315
198,285
212,294
212,294
198,285
212,294
218,299
198,285
218,299
218,291
198,285
218,291
222,297
198,285
222,297
214,299
198,285
214,299
221,294
198,285
221,294
218,302
198,285
237,315
263,371
277,409
273,393
273,393
277,409
273,393
268,383
277,409
268,383
278,386
277,409
278,386
267,390
277,409
267,390
273,382
277,409
273,382
264,387
277,409
264,387
274,386
277,409
263,371
277,409
273,393
273,393
277,409
273,393
268,383
277,409
268,383
278,386
277,409
278,386
267,390
277,409
267,390
273,382
277,409
273,382
264,387
277,409
264,387
274,386
277,409
263,371
281,399
270,363
266,403
268,386
268,386
266,403
268,386
262,378
266,403
262,378
268,376
266,403
268,376
274,384
266,403
274,384
272,375
266,403
272,375
263,381
266,403
263,381
274,379
266,403
270,363
266,313
310,295
293,298
293,298
310,295
293,298
284,300
310,295
284,300
288,295
310,295
288,295
288,303
310,295
288,303
285,296
310,295
285,296
292,303
310,295
292,303
286,305
310,295
266,313
270,363
281,399
298,444
315,490
302,455
297,497
257,512
269,501
269,501
257,512
269,501
280,503
257,512
280,503
278,492
257,512
278,492
268,494
257,512
268,494
275,504
257,512
275,504
272,491
257,512
272,491
279,497
257,512
297,497
302,455
315,490
277,403
271,338
269,376
268,416
269,399
269,399
268,416
269,399
261,393
268,416
261,393
269,388
268,416
269,388
274,395
268,416
274,395
265,389
268,416
265,389
274,390
268,416
274,390
265,395
268,416
269,376
271,338
278,293
258,243
237,196
244,211
244,211
237,196
244,211
244,219
237,196
244,219
252,215
237,196
252,215
247,220
237,196
247,220
250,213
237,196
250,213
242,217
237,196
242,217
250,218
237,196
258,243
278,293
316,310
302,301
302,301
316,310
302,301
301,291
316,310
301,291
293,295
316,310
293,295
296,303
316,310
296,303
301,295
316,310
301,295
293,300
316,310
293,300
296,291
316,310
278,293
271,338
258,285
245,233
231,182
237,198
237,198
231,182
237,198
233,203
231,182
233,203
238,208
231,182
238,208
243,200
231,182
243,200
241,207
231,182
241,207
234,206
231,182
234,206
243,204
231,182
245,233
258,285
271,338
277,403
232,395
274,400
315,409
300,402
300,402
315,409
300,402
292,395
315,409
292,395
294,405
315,409
294,405
299,395
315,409
299,395
289,399
315,409
289,399
296,393
315,409
296,393
292,402
315,409
274,400
232,395
188,384
204,382
204,382
188,384
204,382
215,386
188,384
215,386
209,375
188,384
209,375
217,381
188,384
217,381
206,389
188,384
206,389
214,378
188,384
214,378
211,390
188,384
232,395
260,350
238,305
216,261
225,276
225,276
216,261
225,276
222,282
216,261
222,282
231,278
216,261
231,278
225,284
216,261
225,284
233,281
216,261
233,281
227,281
216,261
227,281
229,290
216,261
238,305
260,350
232,395
277,403
270,361
262,320
277,357
271,341
271,341
277,357
271,341
264,334
277,357
264,334
275,332
277,357
275,332
265,338
277,357
265,338
271,329
277,357
271,329
277,336
277,357
277,336
268,333
277,357
262,320
246,269
231,219
237,235
237,235
231,219
237,235
233,241
231,219
233,241
241,244
231,219
241,244
243,237
231,219
243,237
236,240
231,219
236,240
244,241
231,219
244,241
236,244
231,219
246,269
262,320
270,361
277,403
315,490
