x,y
80,1960
100,1960
120,1960
140,1960
160,1960
180,1960
200,1960
220,1960
240,1960
260,1960
280,1960
300,1960
320,1960
340,1960
360,1960
380,1960
400,1960
420,1960
440,1960
460,1960
480,1960
500,1960
520,1960
540,1960
560,1960
580,1960
600,1960
620,1960
640,1960
660,1960
680,1960
700,1960
720,1960
740,1960
760,1960
780,1960
800,1960
820,1960
840,1960
860,1960
880,1960
900,1960
920,1960
940,1960
960,1960
980,1960
1000,1960
1020,1960
1040,1960
1060,1960
1080,1960
1100,1960
1120,1960
1140,1960
1160,1960
1180,1960
1200,1960
1220,1960
1240,1960
1260,1960
1280,1960
1300,1960
1320,1960
1340,1960
1360,1960
1380,1960
1400,1960
1420,1960
1440,1960
1460,1960
1480,1960
1500,1960
1520,1960
1540,1960
1560,1960
1580,1960
1600,1960
1620,1960
1640,1960
1660,1960
1680,1960
1700,1960
1720,1960
1740,1960
1760,1960
1780,1960
1800,1960
1820,1960
1840,1960
1860,1960
1880,1960
1900,1960
717,1960
711,1941
706,1922
700,1902
695,1883
693,1877
693,1857
693,1837
693,1817
693,1797
693,1792
707,1806
722,1820
736,1834
749,1847
735,1833
720,1819
706,1805
693,1792
693,1812
693,1832
693,1852
693,1872
693,1877
698,1896
704,1915
709,1934
715,1953
717,1960
723,1941
728,1922
734,1902
739,1883
741,1878
744,1858
746,1839
749,1819
752,1799
752,1796
732,1793
713,1789
693,1786
673,1782
672,1782
687,1796
701,1809
716,1823
729,1836
715,1822
700,1808
685,1795
672,1782
676,1802
680,1821
684,1841
687,1859
683,1840
679,1820
676,1801
672,1782
692,1786
711,1789
731,1793
751,1796
752,1796
749,1816
747,1836
744,1856
741,1876
741,1878
735,1897
730,1917
724,1936
718,1955
717,1960
698,1953
679,1946
660,1940
642,1933
639,1932
659,1932
679,1932
699,1932
719,1933
720,1933
715,1952
711,1971
706,1991
702,2008
706,1989
711,1969
716,1950
720,1933
700,1932
680,1932
660,1932
640,1932
639,1932
658,1939
677,1946
696,1952
715,1959
717,1960
