x,y
80,1960
100,1960
120,1960
140,1960
160,1960
180,1960
200,1960
220,1960
240,1960
260,1960
280,1960
300,1960
320,1960
340,1960
360,1960
380,1960
400,1960
420,1960
440,1960
460,1960
480,1960
500,1960
520,1960
540,1960
560,1960
580,1960
600,1960
620,1960
640,1960
660,1960
680,1960
700,1960
720,1960
740,1960
760,1960
780,1960
800,1960
820,1960
840,1960
860,1960
880,1960
900,1960
920,1960
940,1960
960,1960
980,1960
1000,1960
1020,1960
1040,1960
1060,1960
1080,1960
1100,1960
1120,1960
1140,1960
1160,1960
1180,1960
1200,1960
1220,1960
1240,1960
1260,1960
1280,1960
1300,1960
1320,1960
1340,1960
1360,1960
1380,1960
1400,1960
1420,1960
1440,1960
1460,1960
1480,1960
1500,1960
1520,1960
1540,1960
1560,1960
1580,1960
1600,1960
1620,1960
1640,1960
1660,1960
1680,1960
1700,1960
1720,1960
1740,1960
1760,1960
1780,1960
1800,1960
1820,1960
1840,1960
1860,1960
1880,1960
1900,1960
1367,1960
1363,1940
1360,1921
1356,1901
1353,1881
1349,1862
1346,1842
1345,1840
1340,1821
1335,1802
1331,1782
1326,1763
1321,1743
1316,1724
1316,1723
1310,1704
1304,1685
1299,1666
1293,1647
1287,1627
1286,1624
1280,1605
1274,1586
1267,1567
1261,1548
1255,1529
1255,1528
1252,1508
1250,1488
1247,1468
1245,1448
1243,1429
1240,1409
1238,1390
1235,1370
1233,1350
1231,1334
1230,1314
1229,1294
1227,1274
1226,1254
1225,1240
1226,1220
1227,1200
1227,1180
1228,1160
1229,1150
1225,1130
1222,1110
1218,1091
1215,1071
1214,1063
1205,1045
1196,1027
1187,1009
1178,992
1176,987
1182,1006
1188,1025
1194,1044
1199,1061
1219,1063
1221,1064
1234,1049
1235,1048
1215,1046
1214,1046
1200,1060
1199,1061
1194,1044
1177,1039
1183,1056
1199,1061
1193,1042
1187,1023
1181,1004
1176,987
1196,989
1215,991
1228,992
1241,978
1255,963
1264,954
1244,952
1224,950
1211,948
1198,963
1184,978
1176,987
1178,976
1170,967
1168,978
1176,987
1185,1005
1194,1023
1202,1040
1211,1058
1214,1063
1234,1062
1239,1062
1250,1045
1252,1041
1232,1042
1227,1042
1216,1059
1214,1063
1197,1053
1179,1059
1196,1070
1214,1063
1217,1083
1220,1103
1224,1122
1227,1142
1229,1150
1245,1162
1257,1171
1276,1165
1291,1160
1274,1148
1262,1139
1243,1145
1229,1150
1228,1170
1227,1190
1226,1210
1226,1230
1225,1240
1234,1238
1238,1229
1229,1231
1225,1240
1219,1230
1206,1229
1213,1239
1225,1240
1216,1234
1205,1238
1215,1244
1225,1240
1226,1260
1228,1280
1229,1300
1230,1320
1231,1334
1239,1331
1242,1322
1234,1325
1231,1334
1233,1353
1236,1373
1238,1393
1241,1413
1243,1429
1237,1424
1229,1424
1235,1430
1243,1429
1236,1426
1229,1429
1236,1432
1243,1429
1245,1449
1247,1469
1250,1489
1252,1509
1255,1528
1247,1523
1239,1526
1246,1531
1255,1528
1246,1530
1242,1539
1251,1537
1255,1528
1261,1547
1267,1566
1273,1585
1280,1604
1286,1623
1286,1624
1296,1623
1302,1614
1291,1615
1286,1624
1292,1643
1297,1662
1303,1681
1309,1700
1315,1720
1316,1723
1308,1705
1301,1686
1294,1667
1287,1649
1281,1636
1278,1616
1275,1596
1271,1577
1268,1557
1266,1544
1266,1524
1266,1504
1267,1484
1267,1464
1267,1454
1270,1434
1272,1414
1275,1394
1278,1375
1279,1367
1288,1349
1297,1331
1306,1314
1315,1296
1318,1291
1317,1311
1317,1331
1316,1351
1316,1369
1326,1377
1338,1373
1328,1366
1316,1369
1323,1377
1334,1375
1326,1368
1316,1369
1324,1365
1325,1355
1317,1360
1316,1369
1316,1349
1317,1329
1317,1309
1318,1291
1334,1297
1349,1288
1332,1282
1318,1291
1309,1278
1293,1276
1302,1290
1318,1291
1308,1309
1299,1327
1290,1345
1281,1362
1279,1367
1286,1367
1290,1361
1283,1361
1279,1367
1276,1387
1273,1407
1271,1427
1268,1446
1267,1454
1275,1457
1283,1453
1275,1450
1267,1454
1267,1474
1267,1494
1266,1514
1266,1534
1266,1544
1269,1564
1273,1584
1276,1603
1279,1623
1281,1636
1286,1629
1283,1622
1279,1628
1281,1636
1289,1654
1296,1673
1303,1692
1311,1710
1316,1723
1325,1724
1332,1717
1322,1716
1316,1723
1321,1743
1325,1762
1330,1782
1335,1801
1340,1820
1345,1840
1345,1840
1349,1860
1352,1880
1356,1899
1359,1919
1363,1939
1366,1959
1367,1960
1365,1940
1364,1920
1362,1900
1360,1880
1359,1860
1357,1840
1356,1821
1356,1801
1356,1781
1357,1761
1357,1741
1357,1721
1357,1707
1357,1687
1358,1667
1358,1647
1358,1627
1359,1607
1359,1596
1360,1576
1360,1556
1361,1536
1362,1517
1362,1497
1362,1489
1364,1469
1365,1449
1366,1429
1367,1409
1369,1389
1369,1384
1372,1364
1374,1344
1377,1325
1380,1305
1382,1285
1382,1283
1384,1263
1385,1243
1386,1223
1388,1203
1389,1183
1390,1163
1390,1143
1390,1123
1391,1103
1391,1087
1393,1067
1396,1047
1398,1027
1400,1007
1402,993
1401,973
1401,953
1400,933
1399,913
1399,903
1402,883
1405,863
1407,843
1410,823
1411,816
1422,799
1432,782
1443,765
1454,748
1457,743
1452,762
1447,782
1442,801
1438,818
1458,820
1474,822
1487,807
1498,795
1478,793
1462,792
1448,807
1438,818
1422,807
1404,812
1419,824
1438,818
1452,825
1465,817
1451,811
1438,818
1429,808
1416,809
1424,819
1438,818
1443,799
1447,780
1452,760
1457,743
1465,736
1465,725
1456,732
1457,743
1470,730
1468,712
1454,725
1457,743
1459,727
1448,716
1446,732
1457,743
1446,760
1435,777
1425,794
1414,811
1411,816
1407,796
1404,781
1386,773
1372,766
1376,786
1379,801
1397,809
1411,816
1407,798
1391,791
1395,809
1411,816
1431,812
1449,809
1458,791
1466,775
1446,778
1429,782
1419,799
1411,816
1427,808
1430,790
1414,798
1411,816
1408,835
1406,855
1403,875
1400,895
1399,903
1410,903
1418,894
1406,894
1399,903
1412,901
1418,890
1406,892
1399,903
1408,904
1415,897
1405,896
1399,903
1380,898
1360,893
1357,892
1341,904
1326,917
1323,919
1342,924
1362,929
1365,930
1381,917
1396,905
1399,903
1400,923
1400,943
1401,963
1402,983
1402,993
1409,997
1416,994
1409,990
1402,993
1391,982
1375,984
1386,996
1402,993
1410,996
1417,990
1409,988
1402,993
1400,1013
1397,1033
1395,1053
1393,1073
1391,1087
1384,1076
1371,1076
1378,1086
1391,1087
1389,1080
1383,1077
1385,1084
1391,1087
1394,1078
1389,1071
1386,1079
1391,1087
1391,1107
1390,1127
1390,1147
1389,1167
1389,1183
1397,1183
1402,1177
1394,1177
1389,1183
1397,1185
1402,1180
1395,1178
1389,1183
1386,1176
1378,1174
1381,1181
1389,1183
1384,1176
1374,1176
1380,1183
1389,1183
1388,1203
1386,1223
1385,1243
1384,1263
1382,1283
1376,1271
1362,1269
1369,1281
1382,1283
1389,1285
1394,1281
1388,1279
1382,1283
1391,1282
1395,1274
1387,1275
1382,1283
1380,1302
1377,1322
1375,1342
1372,1362
1369,1382
1369,1384
1356,1377
1342,1383
1355,1390
1369,1384
1368,1373
1358,1368
1360,1379
1369,1384
1368,1404
1367,1424
1365,1444
1364,1464
1363,1484
1362,1489
1357,1480
1347,1480
1352,1488
1362,1489
1371,1486
1374,1478
1365,1481
1362,1489
1362,1481
1355,1476
1356,1484
1362,1489
1362,1509
1361,1529
1360,1549
1360,1569
1359,1589
1359,1596
1366,1594
1368,1587
1361,1590
1359,1596
1359,1616
1358,1636
1358,1656
1358,1676
1357,1696
1357,1707
1356,1698
1348,1695
1349,1703
1357,1707
1357,1727
1357,1747
1356,1767
1356,1787
1356,1807
1356,1821
1351,1801
1346,1782
1341,1763
1336,1743
1331,1724
1330,1721
1327,1701
1325,1681
1322,1662
1320,1642
1318,1622
1317,1620
1315,1600
1313,1581
1311,1561
1309,1541
1307,1523
1304,1503
1302,1483
1300,1463
1298,1443
1297,1428
1297,1408
1296,1388
1296,1368
1296,1348
1296,1343
1288,1324
1280,1306
1272,1288
1264,1270
1263,1268
1257,1258
1246,1258
1252,1267
1263,1268
1280,1270
1292,1259
1275,1256
1263,1268
1256,1261
1246,1264
1254,1270
1263,1268
1271,1286
1279,1304
1288,1322
1296,1341
1296,1343
1289,1336
1279,1338
1286,1345
1296,1343
1304,1343
1310,1338
1302,1337
1296,1343
1289,1337
1281,1340
1288,1345
1296,1343
1296,1363
1296,1383
1297,1403
1297,1423
1297,1428
1290,1409
1284,1390
1278,1371
1272,1352
1270,1345
1272,1325
1273,1305
1275,1286
1277,1266
1278,1261
1274,1280
1270,1300
1266,1320
1262,1336
1248,1350
1233,1364
1218,1377
1205,1390
1219,1376
1234,1363
1249,1349
1262,1336
1272,1343
1283,1339
1273,1332
1262,1336
1260,1330
1254,1327
1256,1334
1262,1336
1266,1317
1270,1297
1274,1278
1278,1261
1265,1245
1265,1245
1245,1246
1245,1246
1258,1262
1258,1262
1278,1261
1278,1261
1298,1263
1315,1265
1329,1251
1342,1238
1322,1236
1304,1233
1290,1248
1278,1261
1296,1269
1300,1271
1318,1261
1322,1259
1303,1251
1299,1249
1282,1259
1278,1261
1276,1281
1274,1301
1272,1321
