x,y
80,1960
95,1960
110,1960
125,1960
140,1960
155,1960
170,1960
185,1960
200,1960
215,1960
230,1960
245,1960
260,1960
275,1960
290,1960
305,1960
320,1960
335,1960
350,1960
365,1960
380,1960
395,1960
410,1960
425,1960
440,1960
455,1960
470,1960
485,1960
500,1960
515,1960
530,1960
545,1960
560,1960
575,1960
590,1960
605,1960
620,1960
635,1960
650,1960
665,1960
680,1960
695,1960
710,1960
725,1960
740,1960
755,1960
770,1960
785,1960
800,1960
815,1960
830,1960
845,1960
860,1960
875,1960
890,1960
905,1960
920,1960
935,1960
950,1960
965,1960
980,1960
995,1960
1010,1960
1025,1960
1040,1960
1055,1960
1070,1960
1085,1960
1100,1960
1115,1960
1130,1960
1145,1960
1160,1960
1175,1960
1190,1960
1205,1960
1220,1960
1235,1960
1250,1960
1265,1960
1280,1960
1295,1960
1310,1960
1325,1960
1340,1960
1355,1960
1370,1960
1385,1960
1400,1960
1415,1960
1430,1960
1445,1960
1460,1960
1475,1960
1490,1960
1505,1960
1520,1960
1535,1960
1550,1960
1565,1960
1580,1960
1595,1960
1610,1960
1625,1960
1640,1960
1655,1960
1670,1960
1685,1960
1700,1960
1715,1960
1730,1960
1745,1960
1760,1960
1775,1960
1790,1960
1805,1960
1820,1960
1835,1960
1850,1960
1865,1960
1880,1960
1895,1960
1910,1960
678,1960
678,1945
678,1930
678,1915
678,1900
678,1885
678,1870
678,1855
677,1840
677,1825
677,1810
677,1807
678,1792
678,1777
679,1762
679,1747
680,1732
680,1717
680,1702
681,1687
681,1672
682,1658
682,1656
682,1641
682,1626
681,1611
681,1596
681,1581
681,1566
681,1551
680,1539
676,1525
671,1511
666,1496
661,1482
657,1468
652,1454
650,1447
645,1433
640,1419
635,1405
630,1390
625,1376
620,1362
618,1359
615,1344
611,1329
608,1315
604,1300
601,1286
597,1271
597,1270
596,1255
595,1240
593,1225
592,1211
590,1196
589,1183
584,1169
578,1155
573,1141
568,1127
562,1113
559,1104
558,1089
558,1074
558,1059
557,1044
557,1029
557,1022
550,1009
543,995
537,983
522,980
507,978
493,976
500,989
507,1002
514,1015
528,1017
543,1020
557,1022
557,1037
558,1052
558,1067
558,1082
559,1097
559,1104
574,1104
582,1092
568,1092
559,1104
545,1099
534,1095
521,1103
511,1110
525,1115
536,1119
549,1110
559,1104
564,1118
570,1132
575,1146
580,1160
586,1174
589,1183
600,1182
605,1173
595,1174
589,1183
591,1198
592,1213
593,1228
595,1243
596,1258
597,1270
593,1262
584,1261
588,1269
597,1270
593,1261
584,1258
587,1268
597,1270
601,1285
604,1299
608,1314
611,1329
615,1343
618,1358
618,1359
610,1350
599,1351
607,1360
618,1359
623,1373
628,1387
633,1401
638,1415
643,1429
648,1443
650,1447
646,1440
637,1439
641,1446
650,1447
657,1446
661,1440
654,1441
650,1447
658,1449
665,1443
656,1441
650,1447
654,1461
659,1475
664,1490
669,1504
673,1518
678,1532
680,1539
683,1524
686,1510
689,1495
692,1480
695,1465
697,1451
699,1444
699,1429
699,1414
700,1399
700,1384
700,1369
701,1354
701,1347
701,1332
701,1317
701,1302
701,1287
701,1272
701,1257
701,1254
699,1239
696,1224
694,1210
691,1195
689,1180
686,1165
686,1164
684,1149
682,1135
680,1120
678,1105
675,1090
674,1078
667,1065
660,1051
653,1038
646,1025
639,1011
635,1002
642,1015
650,1028
657,1041
665,1054
673,1067
674,1069
665,1063
654,1066
663,1072
674,1069
667,1056
659,1043
651,1030
644,1017
636,1004
635,1002
621,998
610,1006
623,1010
635,1002
625,990
615,979
606,967
603,963
588,964
573,965
558,966
553,966
562,977
572,989
581,1001
585,1004
600,1004
615,1003
630,1002
635,1002
624,991
616,983
601,985
590,987
601,998
609,1005
623,1003
635,1002
646,992
647,992
646,977
646,976
634,986
634,986
635,1001
635,1002
627,990
613,988
620,1000
635,1002
641,1015
648,1029
655,1042
662,1055
669,1069
674,1078
688,1082
691,1083
703,1074
706,1072
691,1068
688,1067
676,1076
674,1078
683,1083
692,1079
683,1074
674,1078
686,1083
698,1076
685,1071
674,1078
676,1093
678,1108
680,1122
682,1137
684,1152
686,1164
698,1166
706,1157
694,1156
686,1164
696,1168
705,1161
695,1158
686,1164
687,1156
681,1150
680,1158
686,1164
689,1179
691,1194
694,1209
696,1223
699,1238
701,1253
701,1254
715,1256
725,1246
711,1244
701,1254
713,1253
720,1243
708,1244
701,1254
701,1269
701,1284
701,1299
701,1314
701,1329
701,1344
701,1347
698,1341
690,1339
693,1346
701,1347
701,1340
695,1336
695,1343
701,1347
695,1341
687,1342
692,1348
701,1347
700,1362
700,1377
700,1392
699,1407
699,1422
699,1437
699,1444
696,1458
693,1473
690,1488
687,1502
685,1517
682,1532
680,1539
681,1554
681,1569
681,1584
681,1599
681,1614
682,1629
682,1644
682,1656
683,1641
684,1626
685,1611
687,1596
688,1581
689,1566
690,1551
690,1545
690,1530
689,1515
689,1500
688,1485
688,1470
687,1455
687,1440
687,1434
685,1419
683,1404
681,1390
679,1375
678,1360
676,1345
674,1331
674,1316
673,1301
673,1286
672,1271
672,1256
671,1241
671,1229
671,1214
672,1199
672,1184
673,1169
673,1154
673,1139
674,1130
674,1115
674,1100
674,1085
675,1070
675,1055
675,1040
675,1034
677,1019
679,1004
680,989
682,974
684,959
686,945
686,941
690,927
694,912
698,898
701,883
705,869
709,854
709,853
715,839
720,826
726,812
731,798
737,784
741,771
743,756
744,741
746,726
747,711
749,697
750,687
748,672
746,657
744,642
742,627
740,612
739,606
752,613
766,620
779,627
786,630
800,624
813,618
827,611
835,608
821,601
808,594
795,587
787,583
774,589
760,596
747,602
739,606
744,599
741,592
737,598
739,606
749,594
750,594
747,579
747,578
737,589
736,590
739,605
739,606
741,620
743,635
745,650
747,665
749,680
750,687
749,675
739,669
740,681
750,687
765,685
772,684
779,670
783,664
768,666
760,667
753,680
750,687
748,702
747,717
745,732
744,746
742,761
741,771
754,770
760,760
748,761
741,771
755,768
761,755
747,758
741,771
752,774
761,768
750,765
741,771
736,785
731,799
725,813
720,827
714,841
709,853
723,859
737,865
739,866
752,858
765,850
767,849
753,843
739,838
737,837
724,845
711,852
709,853
710,840
699,831
698,845
709,853
702,841
694,828
686,815
685,813
670,811
655,809
640,808
638,807
646,820
653,833
661,846
662,848
677,850
692,852
707,853
709,853
710,842
702,835
701,846
709,853
705,868
702,882
698,897
694,911
690,926
686,940
686,941
684,926
683,924
670,917
668,915
670,930
670,933
684,940
686,941
676,930
671,925
656,926
650,927
660,938
664,943
679,942
686,941
676,933
663,935
673,944
686,941
680,932
669,931
675,940
686,941
684,956
683,971
681,986
679,1001
677,1016
676,1031
675,1034
666,1025
653,1028
663,1036
675,1034
675,1049
675,1064
674,1079
674,1094
674,1109
674,1124
674,1130
669,1125
662,1125
667,1130
674,1130
668,1122
658,1122
664,1130
674,1130
673,1145
673,1160
672,1175
672,1190
672,1205
671,1220
671,1229
666,1224
659,1225
664,1230
671,1229
666,1224
658,1225
663,1230
671,1229
671,1244
672,1259
672,1274
673,1289
673,1304
674,1319
674,1331
681,1327
682,1319
675,1323
674,1331
676,1346
678,1361
680,1376
681,1391
683,1405
685,1420
687,1434
698,1424
709,1414
720,1404
732,1394
743,1384
749,1378
759,1367
768,1355
778,1343
787,1331
796,1320
801,1314
809,1308
809,1297
800,1304
801,1314
791,1326
782,1338
773,1349
763,1361
754,1373
749,1378
758,1382
767,1378
758,1374
749,1378
738,1388
727,1398
716,1408
705,1418
693,1428
687,1434
693,1437
699,1434
693,1431
687,1434
681,1430
674,1432
680,1436
687,1434
687,1449
688,1464
688,1479
689,1494
689,1509
690,1524
690,1539
690,1545
698,1546
704,1540
696,1539
690,1545
698,1538
698,1528
690,1534
690,1545
689,1559
688,1574
687,1589
686,1604
685,1619
684,1634
682,1649
682,1656
681,1647
674,1643
675,1651
682,1656
681,1671
681,1686
681,1701
680,1716
680,1731
679,1746
679,1761
678,1776
678,1791
677,1806
677,1807
680,1800
676,1794
673,1801
677,1807
679,1798
672,1791
670,1801
677,1807
677,1822
677,1837
677,1852
678,1867
678,1882
678,1897
678,1912
678,1927
678,1942
678,1957
678,1960
679,1945
680,1930
681,1915
681,1900
682,1885
683,1870
684,1855
685,1840
685,1834
686,1820
686,1805
687,1790
688,1775
688,1760
689,1745
689,1730
690,1715
690,1712
690,1697
691,1682
691,1667
692,1652
692,1637
692,1622
693,1607
693,1592
693,1592
694,1577
694,1562
695,1547
695,1532
696,1517
696,1502
697,1491
699,1476
702,1461
704,1446
707,1432
709,1417
712,1402
712,1399
711,1384
710,1369
709,1354
708,1339
706,1324
705,1309
705,1309
699,1295
693,1282
687,1268
681,1254
674,1241
669,1229
664,1215
659,1201
655,1187
650,1172
645,1158
641,1148
633,1136
625,1123
618,1110
610,1098
602,1085
598,1079
609,1074
611,1063
601,1068
598,1079
583,1075
582,1075
570,1085
569,1085
584,1089
585,1089
597,1080
598,1079
587,1069
579,1063
564,1066
555,1068
566,1078
574,1084
588,1081
598,1079
606,1092
614,1104
622,1117
630,1130
638,1143
641,1148
653,1146
657,1135
646,1138
641,1148
652,1148
657,1139
647,1140
641,1148
631,1143
621,1148
631,1154
641,1148
650,1143
650,1133
642,1139
641,1148
631,1139
617,1141
627,1151
641,1148
646,1163
651,1177
656,1191
661,1205
666,1219
669,1229
662,1227
656,1232
663,1234
669,1229
675,1243
681,1257
688,1270
694,1284
700,1298
705,1309
712,1315
721,1312
714,1307
705,1309
715,1310
721,1303
712,1302
705,1309
714,1307
717,1298
709,1301
705,1309
706,1324
708,1339
709,1354
710,1369
711,1384
712,1399
712,1399
708,1393
701,1394
705,1399
712,1399
717,1404
724,1403
719,1398
712,1399
710,1414
707,1429
705,1443
702,1458
700,1473
697,1488
697,1491
696,1476
695,1461
695,1446
694,1431
694,1416
693,1406
700,1393
707,1379
713,1366
720,1352
726,1339
729,1332
737,1332
741,1326
734,1327
729,1332
723,1346
716,1359
710,1373
703,1386
697,1400
693,1406
700,1404
701,1397
695,1400
693,1406
687,1400
679,1402
685,1408
693,1406
694,1421
695,1436
695,1451
696,1466
696,1481
697,1491
692,1483
683,1482
688,1490
697,1491
696,1506
696,1521
695,1536
695,1551
694,1566
694,1581
693,1592
694,1577
694,1562
695,1547
696,1532
696,1517
697,1502
697,1497
698,1482
699,1467
699,1452
700,1437
701,1422
702,1407
702,1404
704,1389
707,1375
709,1360
711,1345
714,1330
716,1315
716,1315
716,1300
716,1285
715,1270
715,1255
715,1240
714,1228
721,1214
727,1201
733,1187
739,1173
745,1160
749,1151
759,1140
770,1129
780,1118
790,1107
801,1096
806,1090
817,1082
816,1068
805,1077
806,1090
795,1101
785,1112
775,1123
765,1134
754,1145
749,1151
744,1141
733,1140
738,1149
749,1151
743,1164
737,1178
731,1192
725,1205
718,1219
714,1228
729,1226
733,1226
741,1213
743,1210
728,1211
724,1212
717,1224
714,1228
729,1230
730,1230
741,1220
742,1219
727,1217
726,1217
715,1227
714,1228
715,1243
715,1258
715,1273
716,1288
716,1303
716,1315
727,1317
734,1309
724,1308
716,1315
724,1319
732,1314
724,1311
716,1315
727,1313
731,1303
720,1305
716,1315
723,1319
731,1316
724,1312
716,1315
714,1330
711,1345
709,1360
707,1374
704,1389
702,1404
702,1404
701,1419
700,1434
700,1449
699,1464
698,1479
697,1494
697,1497
683,1491
669,1486
655,1481
641,1476
627,1471
618,1468
606,1459
594,1450
582,1441
570,1432
558,1423
552,1419
564,1419
572,1409
559,1409
552,1419
564,1428
576,1437
588,1446
600,1455
612,1464
618,1468
612,1464
604,1466
611,1471
618,1468
612,1462
603,1463
609,1470
618,1468
612,1466
606,1469
612,1472
618,1468
633,1473
647,1478
661,1483
675,1489
689,1494
697,1497
703,1502
710,1500
705,1495
697,1497
697,1512
696,1527
695,1542
695,1556
694,1571
693,1586
693,1592
693,1607
692,1622
692,1637
692,1652
691,1667
691,1682
690,1697
690,1712
690,1712
697,1708
698,1699
691,1704
690,1712
689,1727
689,1742
688,1757
688,1772
687,1787
687,1802
686,1817
685,1832
685,1834
684,1849
684,1864
683,1879
682,1894
681,1909
680,1924
679,1939
678,1954
678,1960
685,1964
692,1961
685,1957
678,1960
