x,y
80,1960
100,1960
120,1960
140,1960
160,1960
180,1960
200,1960
220,1960
240,1960
260,1960
280,1960
300,1960
320,1960
340,1960
360,1960
380,1960
400,1960
420,1960
440,1960
460,1960
480,1960
500,1960
520,1960
540,1960
560,1960
580,1960
600,1960
620,1960
640,1960
660,1960
680,1960
700,1960
720,1960
740,1960
760,1960
780,1960
800,1960
820,1960
840,1960
860,1960
880,1960
900,1960
920,1960
940,1960
960,1960
980,1960
1000,1960
1020,1960
1040,1960
1060,1960
1080,1960
1100,1960
1120,1960
1140,1960
1160,1960
1180,1960
1200,1960
1220,1960
1240,1960
1260,1960
1280,1960
1300,1960
1320,1960
1340,1960
1360,1960
1380,1960
1400,1960
1420,1960
1440,1960
1460,1960
1480,1960
1500,1960
1520,1960
1540,1960
1560,1960
1580,1960
1600,1960
1620,1960
1640,1960
1660,1960
1680,1960
1700,1960
1720,1960
1740,1960
1760,1960
1780,1960
1800,1960
1820,1960
1840,1960
1860,1960
1880,1960
1900,1960
1089,1960
1088,1940
1087,1920
1086,1900
1085,1880
1084,1860
1083,1840
1082,1820
1082,1800
1081,1790
1081,1770
1081,1750
1080,1730
1080,1710
1080,1690
1080,1670
1079,1650
1079,1630
1079,1620
1076,1601
1073,1581
1070,1561
1066,1541
1063,1522
1061,1510
1057,1491
1053,1471
1050,1451
1046,1432
1042,1412
1040,1404
1038,1384
1036,1364
1034,1344
1032,1324
1030,1304
1029,1302
1028,1282
1026,1262
1025,1242
1023,1222
1022,1204
1021,1184
1021,1164
1020,1144
1020,1124
1019,1107
1022,1088
1024,1068
1026,1048
1028,1028
1029,1015
1031,995
1033,975
1036,955
1038,935
1039,925
1039,905
1040,885
1040,865
1041,845
1041,837
1033,819
1024,801
1016,782
1008,764
1006,760
994,743
983,726
972,710
961,693
959,692
979,691
999,691
1009,690
1021,674
1033,658
1038,650
1018,650
998,651
988,651
977,667
965,683
959,692
948,675
938,661
918,661
902,660
913,677
923,690
943,691
959,692
971,708
982,725
993,741
1004,758
1006,760
1022,753
1027,736
1011,743
1006,760
1001,745
986,741
991,755
1006,760
993,750
978,755
990,764
1006,760
994,758
986,766
997,768
1006,760
1014,778
1022,796
1030,814
1039,832
1041,837
1041,821
1029,811
1029,827
1041,837
1061,836
1081,834
1082,834
1092,817
1103,800
1104,800
1084,801
1064,803
1063,803
1052,820
1041,836
1041,837
1061,834
1063,834
1073,816
1074,814
1054,817
1052,817
1042,835
1041,837
1035,821
1018,817
1024,833
1041,837
1040,857
1040,877
1039,897
1039,917
1039,925
1038,916
1032,912
1032,920
1039,925
1033,915
1022,914
1027,924
1039,925
1037,944
1035,964
1033,984
1031,1004
1029,1015
1040,1017
1047,1010
1037,1008
1029,1015
1038,1013
1043,1005
1034,1007
1029,1015
1027,1035
1025,1054
1023,1074
1021,1094
1019,1107
1011,1103
1002,1108
1011,1112
1019,1107
1027,1106
1030,1099
1023,1101
1019,1107
1015,1099
1006,1098
1010,1106
1019,1107
1020,1127
1020,1147
1021,1167
1022,1187
1022,1204
1017,1199
1010,1200
1015,1205
1022,1204
1018,1197
1010,1197
1014,1203
1022,1204
1023,1223
1025,1243
1026,1263
1028,1283
1029,1302
1031,1322
1034,1342
1036,1362
1038,1382
1040,1402
1040,1404
1024,1391
1009,1378
994,1365
978,1353
975,1350
988,1335
1001,1320
1014,1305
1028,1290
1029,1288
1036,1287
1040,1281
1033,1282
1029,1288
1016,1303
1003,1318
990,1333
976,1348
975,1350
964,1343
952,1347
963,1354
975,1350
966,1346
957,1350
966,1355
975,1350
990,1363
1006,1375
1021,1388
1037,1401
1040,1404
1044,1423
1048,1443
1052,1462
1056,1482
1060,1502
1061,1510
1070,1514
1078,1509
1069,1506
1061,1510
1054,1504
1045,1506
1052,1512
1061,1510
1064,1530
1068,1550
1071,1569
1074,1589
1077,1609
1079,1620
1080,1600
1081,1580
1082,1561
1083,1541
1084,1521
1085,1501
1086,1486
1086,1466
1085,1446
1085,1426
1085,1406
1084,1386
1084,1366
1084,1353
1085,1333
1086,1313
1087,1293
1088,1273
1089,1253
1090,1247
1092,1227
1094,1207
1097,1187
1099,1167
1101,1147
1102,1144
1100,1124
1098,1104
1095,1084
1093,1064
1093,1059
1097,1040
1101,1020
1105,1001
1109,981
1110,979
1118,981
1125,976
1117,974
1110,979
1119,979
1125,971
1115,971
1110,979
1105,973
1098,974
1103,979
1110,979
1106,999
1102,1018
1097,1038
1093,1057
1093,1059
1090,1052
1083,1050
1086,1057
1093,1059
1086,1054
1079,1056
1085,1061
1093,1059
1095,1079
1097,1099
1099,1119
1101,1139
1102,1144
1106,1124
1110,1105
1114,1085
1118,1065
1121,1051
1118,1031
1115,1012
1112,992
1109,972
1107,962
1104,942
1101,922
1098,902
1095,882
1094,875
1100,856
1105,836
1111,817
1116,798
1118,793
1127,776
1136,758
1146,740
1155,723
1156,721
1176,722
1196,724
1208,725
1221,710
1234,695
1241,686
1222,685
1202,683
1190,682
1177,697
1164,712
1156,721
1160,710
1153,701
1150,712
1156,721
1176,724
1181,724
1195,710
1199,707
1179,704
1174,703
1160,717
1156,721
1147,738
1138,756
1128,774
1119,791
1118,793
1112,774
1111,770
1092,763
1088,762
1094,781
1095,785
1114,792
1118,793
1098,790
1095,790
1081,804
1079,805
1099,808
1101,809
1116,795
1118,793
1125,787
1125,777
1117,783
1118,793
1112,812
1107,832
1101,851
1096,870
1094,875
1084,871
1076,877
1085,880
1094,875
1086,863
1071,863
1080,875
1094,875
1086,867
1074,869
1083,877
1094,875
1097,895
1100,914
1103,934
1106,954
1107,962
1115,960
1118,952
1110,954
1107,962
1105,955
1098,952
1100,959
1107,962
1117,958
1120,948
1110,952
1107,962
1102,955
1094,955
1099,961
1107,962
1116,966
1126,962
1117,957
1107,962
1110,981
1113,1001
1116,1021
1120,1041
1121,1051
1140,1044
1159,1037
1177,1030
1196,1023
1199,1022
1219,1019
1220,1019
1230,1001
1230,1000
1210,1003
1209,1003
1200,1021
1199,1022
1199,1031
1206,1037
1207,1028
1199,1022
1180,1029
1162,1036
1143,1043
1124,1050
1121,1051
1133,1052
1141,1042
1129,1042
1121,1051
1126,1059
1134,1060
1130,1052
1121,1051
1129,1044
1128,1034
1120,1041
1121,1051
1117,1071
1113,1090
1109,1110
1105,1129
1102,1144
1099,1164
1097,1184
1095,1203
1093,1223
1090,1243
1090,1247
1082,1246
1077,1252
1085,1253
1090,1247
1092,1238
1086,1231
1084,1240
1090,1247
1089,1267
1087,1287
1086,1307
1085,1327
1084,1347
1084,1353
1081,1333
1078,1313
1076,1294
1073,1274
1070,1254
1070,1251
1066,1231
1062,1212
1058,1192
1054,1173
1050,1153
1050,1153
1046,1133
1043,1113
1040,1093
1037,1074
1035,1057
1030,1038
1026,1018
1021,999
1017,979
1013,965
1007,946
1000,927
994,908
987,889
984,879
981,859
979,839
976,819
974,799
973,791
971,771
969,752
968,732
966,712
965,707
954,690
943,674
931,657
920,641
919,639
910,621
902,603
900,600
881,596
861,592
858,591
866,609
875,627
877,630
896,634
916,638
919,639
911,620
911,620
891,615
890,615
898,633
899,634
918,639
919,639
926,630
923,619
916,628
919,639
930,655
941,672
953,688
964,705
965,707
948,696
942,692
924,700
917,702
934,713
940,716
959,709
965,707
985,705
989,705
999,688
1001,684
981,686
978,687
967,704
965,707
967,727
969,747
971,767
972,786
973,791
957,780
939,786
954,797
973,791
975,811
978,831
980,851
983,871
984,879
993,878
999,870
989,870
984,879
974,872
963,876
973,882
984,879
978,869
966,868
972,878
984,879
990,897
997,916
1003,935
1010,954
1013,965
1025,966
1033,957
1021,956
1013,965
1013,956
1005,951
1006,960
1013,965
1026,965
1033,954
1020,955
1013,965
1004,958
994,961
1003,968
1013,965
1018,985
1022,1004
1027,1023
1031,1043
1035,1057
1032,1051
1025,1049
1028,1056
1035,1057
1032,1050
1026,1048
1028,1055
1035,1057
1043,1055
1046,1046
1038,1049
1035,1057
1038,1077
1041,1097
1044,1116
1047,1136
1050,1153
1062,1149
1067,1137
1054,1141
1050,1153
1042,1147
1034,1150
1041,1155
1050,1153
1059,1150
1063,1141
1053,1144
1050,1153
1043,1145
1033,1145
1039,1153
1050,1153
1041,1146
1030,1149
1039,1156
1050,1153
1054,1172
1058,1192
1062,1211
1066,1231
1070,1251
1070,1251
1064,1242
1053,1241
1059,1250
1070,1251
1061,1245
1050,1249
1060,1255
1070,1251
1073,1271
1075,1291
1078,1311
1081,1330
1083,1350
1084,1353
1084,1373
1084,1393
1085,1413
1085,1433
1085,1453
1086,1473
1086,1486
1092,1481
1093,1473
1086,1478
1086,1486
1085,1506
1084,1526
1083,1546
1082,1566
1081,1586
1080,1606
1079,1620
1079,1640
1080,1660
1080,1680
1080,1700
1080,1720
1080,1740
1081,1760
1081,1780
1081,1790
1075,1784
1068,1786
1073,1791
1081,1790
1082,1810
1083,1830
1084,1850
1085,1870
1086,1890
1087,1910
1088,1930
1089,1950
1089,1960
1091,1940
1092,1920
1093,1900
1095,1880
1096,1860
1098,1840
1098,1835
1099,1815
1101,1795
1102,1775
1103,1755
1105,1735
1106,1715
1106,1713
1107,1693
1108,1673
1109,1653
1110,1633
1111,1613
1112,1593
1114,1573
1116,1553
1118,1534
1119,1514
1121,1494
1122,1477
1124,1457
1126,1437
1127,1417
1129,1397
1130,1377
