x,y
0,0
50,0
100,0
150,0
160,0
148,38
107,52
65,60
28,81
-3,52
21,84
57,66
94,51
136,49
158,15
168,-31
175,-72
172,-117
153,-153
119,-179
88,-205
49,-232
7,-245
-18,-279
-10,-322
16,-364
1,-401
-21,-441
11,-470
-21,-441
2,-401
17,-364
-4,-329
-21,-292
-4,-253
37,-239
74,-219
105,-192
138,-168
171,-137
179,-97
177,-57
168,-16
158,24
114,15
69,16
47,51
7,63
-20,28
8,63
48,53
71,18
117,17
152,38
169,0
179,-39
185,-81
178,-127
152,-161
115,-188
84,-224
58,-255
21,-273
23,-318
47,-350
68,-388
48,-351
23,-319
18,-277
56,-262
86,-226
118,-190
156,-164
183,-129
190,-83
185,-42
175,-2
172,39
184,82
173,41
178,1
187,-38
195,-80
189,-120
168,-156
127,-184
98,-222
78,-260
77,-310
85,-350
95,-389
111,-427
94,-385
84,-343
75,-302
82,-255
104,-216
138,-180
177,-155
197,-115
200,-74
191,-32
182,7
191,49
207,89
207,130
166,122
180,82
166,120
188,153
208,118
208,75
191,36
186,-7
196,-48
202,-89
192,-129
167,-164
133,-187
109,-227
101,-267
105,-308
102,-352
109,-395
113,-435
110,-393
103,-349
106,-306
102,-265
111,-225
135,-185
167,-161
192,-127
201,-87
196,-46
187,-5
194,38
217,71
197,31
191,-16
201,-58
204,-98
191,-137
164,-170
130,-204
120,-245
130,-292
134,-338
135,-383
137,-424
104,-447
137,-423
136,-381
136,-336
131,-291
122,-251
132,-203
160,-173
189,-142
204,-105
204,-64
195,-23
194,18
215,53
251,74
218,50
197,15
200,-31
209,-73
206,-114
184,-155
156,-186
141,-224
151,-270
178,-302
217,-325
249,-354
270,-391
257,-431
229,-460
189,-479
229,-460
258,-431
270,-391
250,-353
219,-324
180,-301
153,-270
144,-224
158,-186
187,-155
208,-113
212,-72
203,-30
203,13
219,52
254,73
268,112
255,73
220,49
205,9
208,-39
215,-82
208,-123
184,-162
158,-195
151,-235
169,-273
202,-308
236,-337
267,-370
265,-411
248,-447
213,-473
165,-486
207,-477
240,-454
264,-419
270,-375
240,-342
211,-313
176,-280
154,-244
157,-203
182,-168
208,-131
217,-91
213,-48
204,-7
212,36
228,75
268,89
230,75
212,34
206,-7
214,-48
219,-92
209,-133
182,-169
158,-205
157,-245
180,-282
210,-310
239,-341
269,-374
264,-417
242,-452
208,-476
167,-485
209,-477
242,-453
265,-418
270,-375
240,-342
211,-312
181,-283
158,-247
159,-206
184,-171
211,-134
221,-93
217,-49
209,-8
212,34
227,73
265,87
297,61
292,20
297,62
250,64
243,104
225,67
211,27
214,-20
222,-64
221,-109
206,-146
176,-180
158,-221
169,-260
199,-297
231,-327
260,-362
267,-403
248,-447
212,-473
165,-485
207,-477
240,-455
264,-420
271,-377
242,-344
215,-313
185,-284
161,-247
161,-207
188,-172
216,-135
226,-93
222,-48
214,-6
213,34
226,73
214,31
221,-15
229,-60
228,-106
215,-144
184,-179
163,-217
172,-257
201,-295
233,-327
261,-361
268,-401
249,-445
213,-472
167,-484
208,-475
241,-451
264,-416
271,-373
243,-339
218,-307
189,-277
168,-239
173,-193
204,-159
226,-120
232,-77
227,-30
218,12
224,55
266,56
286,18
282,-28
288,-73
293,-116
288,-73
283,-29
286,16
286,58
243,51
221,17
229,-28
235,-76
230,-120
211,-160
182,-192
172,-232
187,-272
213,-304
240,-338
269,-372
265,-413
245,-449
211,-475
171,-484
211,-474
246,-449
265,-412
269,-370
241,-336
215,-302
189,-270
174,-230
184,-191
214,-158
232,-118
237,-75
232,-27
227,14
233,53
259,89
232,119
205,88
238,111
240,71
232,32
232,-10
241,-57
239,-102
230,-141
208,-176
184,-210
188,-254
209,-293
236,-326
262,-362
267,-404
247,-448
212,-474
173,-484
212,-474
247,-448
266,-411
270,-370
243,-336
219,-301
195,-268
185,-229
197,-190
226,-153
241,-110
244,-66
237,-18
240,25
260,65
270,108
249,142
248,183
250,141
272,107
263,64
244,28
241,-14
249,-62
246,-107
234,-152
211,-189
199,-234
212,-280
238,-314
257,-351
271,-393
257,-434
227,-462
186,-481
138,-490
177,-483
221,-467
257,-434
271,-393
258,-351
239,-314
213,-280
201,-234
209,-194
234,-158
247,-115
252,-72
246,-23
247,18
266,54
278,97
262,135
249,174
264,137
280,98
268,55
220,0
270,0
320,0
370,0
