x,y
60,1470
70,1470
80,1470
90,1470
100,1470
110,1470
120,1470
130,1470
140,1470
150,1470
160,1470
170,1470
180,1470
190,1470
200,1470
210,1470
220,1470
230,1470
240,1470
250,1470
260,1470
270,1470
280,1470
290,1470
300,1470
310,1470
320,1470
330,1470
340,1470
350,1470
360,1470
370,1470
380,1470
390,1470
400,1470
410,1470
420,1470
430,1470
440,1470
450,1470
460,1470
470,1470
480,1470
490,1470
500,1470
510,1470
520,1470
530,1470
540,1470
550,1470
560,1470
570,1470
580,1470
590,1470
600,1470
610,1470
620,1470
630,1470
640,1470
650,1470
660,1470
670,1470
680,1470
690,1470
700,1470
710,1470
720,1470
730,1470
740,1470
750,1470
760,1470
770,1470
780,1470
790,1470
800,1470
810,1470
820,1470
830,1470
840,1470
850,1470
860,1470
870,1470
880,1470
890,1470
900,1470
910,1470
920,1470
930,1470
940,1470
950,1470
960,1470
970,1470
980,1470
990,1470
1000,1470
1010,1470
1020,1470
1030,1470
1040,1470
1050,1470
1060,1470
1070,1470
1080,1470
1090,1470
1100,1470
1110,1470
1120,1470
1130,1470
1140,1470
1150,1470
1160,1470
1170,1470
1180,1470
1190,1470
1200,1470
1210,1470
1220,1470
1230,1470
1240,1470
1250,1470
1260,1470
1270,1470
1280,1470
1290,1470
1300,1470
1310,1470
1320,1470
1330,1470
1340,1470
1350,1470
1360,1470
1370,1470
1380,1470
1390,1470
1400,1470
1410,1470
1420,1470
1430,1470
968,1470
970,1460
972,1450
973,1440
975,1431
977,1421
979,1411
980,1401
982,1391
984,1381
985,1371
986,1368
987,1358
988,1348
989,1338
991,1328
992,1318
993,1308
994,1299
995,1289
996,1279
997,1269
998,1267
999,1257
1000,1247
1001,1237
1002,1227
1003,1217
1004,1207
1005,1197
1007,1187
1008,1177
1009,1167
1009,1167
1010,1157
1011,1147
1012,1137
1013,1127
1013,1117
1014,1107
1015,1097
1016,1087
1017,1077
1018,1074
1018,1064
1018,1054
1018,1044
1018,1034
1018,1024
1018,1014
1018,1004
1018,994
1017,984
1017,974
1017,964
1016,954
1016,944
1016,934
1015,924
1015,916
1015,906
1014,896
1013,886
1012,876
1012,866
1011,856
1010,846
1010,840
1010,830
1011,820
1011,810
1011,800
1012,790
1012,780
1012,770
1012,766
1014,756
1015,746
1016,737
1018,727
1019,717
1021,707
1022,697
1022,695
1025,685
1028,675
1031,666
1033,656
1036,647
1039,637
1041,627
1041,627
1044,617
1046,607
1048,598
1050,588
1053,578
1055,568
1056,561
1055,551
1054,542
1053,532
1052,522
1052,512
1051,502
1050,496
1050,486
1051,476
1051,466
1052,456
1052,446
1053,436
1053,433
1053,423
1052,413
1052,403
1052,393
1052,383
1052,373
1052,372
1060,376
1069,381
1078,386
1087,390
1088,391
1097,386
1106,382
1115,378
1124,373
1125,373
1116,368
1107,364
1098,359
1089,355
1088,354
1079,358
1070,363
1061,367
1052,371
1052,372
1042,369
1032,367
1022,364
1022,364
1013,360
1008,357
1000,352
995,347
1002,348
1011,350
1020,353
1026,355
1034,361
1043,366
1051,371
1052,372
1043,366
1035,361
1026,356
1026,355
1019,348
1015,344
1009,336
1006,331
1012,333
1020,338
1028,344
1032,348
1039,356
1045,363
1051,371
1052,372
1045,364
1039,356
1033,348
1032,348
1028,339
1026,334
1023,325
1022,318
1026,323
1033,330
1038,338
1041,343
1045,352
1048,362
1051,371
1052,372
1048,362
1045,353
1041,344
