x,y
80,1960
100,1960
120,1960
140,1960
160,1960
180,1960
200,1960
220,1960
240,1960
260,1960
280,1960
300,1960
320,1960
340,1960
360,1960
380,1960
400,1960
420,1960
440,1960
460,1960
480,1960
500,1960
520,1960
540,1960
560,1960
580,1960
600,1960
620,1960
640,1960
660,1960
680,1960
700,1960
720,1960
740,1960
760,1960
780,1960
800,1960
820,1960
840,1960
860,1960
880,1960
900,1960
920,1960
940,1960
960,1960
980,1960
1000,1960
1020,1960
1040,1960
1060,1960
1080,1960
1100,1960
1120,1960
1140,1960
1160,1960
1180,1960
1200,1960
1220,1960
1240,1960
1260,1960
1280,1960
1300,1960
1320,1960
1340,1960
1360,1960
1380,1960
1400,1960
1420,1960
1440,1960
1460,1960
1480,1960
1500,1960
1520,1960
1540,1960
1560,1960
1580,1960
1600,1960
1620,1960
1640,1960
1660,1960
1680,1960
1700,1960
1720,1960
1740,1960
1760,1960
1780,1960
1800,1960
1820,1960
1840,1960
1860,1960
1880,1960
1900,1960
1283,1960
1284,1940
1285,1920
1286,1900
1286,1880
1287,1860
1288,1840
1288,1827
1289,1807
1289,1787
1290,1767
1290,1747
1291,1727
1291,1707
1291,1696
1291,1676
1291,1656
1291,1636
1291,1616
1291,1596
1291,1576
1291,1568
1291,1548
1292,1528
1292,1508
1292,1488
1293,1468
1293,1448
1293,1443
1294,1423
1294,1403
1295,1383
1295,1363
1296,1343
1297,1323
1297,1321
1295,1301
1294,1281
1293,1261
1291,1241
1290,1222
1291,1202
1292,1182
1294,1162
1295,1142
1296,1126
1295,1106
1295,1086
1295,1066
1294,1046
1294,1032
1296,1012
1297,992
1299,972
1300,952
1301,942
1304,922
1308,903
1311,883
1315,863
1316,855
1322,836
1328,817
1335,798
1341,779
1342,775
1350,756
1357,738
1365,719
1372,701
1373,699
1354,691
1336,684
1335,684
1318,672
1317,672
1308,663
1302,657
1310,659
1322,663
1340,672
1341,673
1357,685
1372,698
1373,699
1357,686
1342,673
1341,673
1329,657
1329,656
1322,645
1318,637
1326,642
1336,650
1350,663
1351,664
1362,681
1372,698
1373,699
1362,682
1351,665
1351,664
1344,645
1344,644
1341,632
1340,623
1346,630
1353,640
1362,658
1363,659
1368,678
1373,698
1373,699
1368,679
1363,660
1363,659
1362,639
1362,638
1364,625
1365,617
1368,625
1372,637
1375,657
1375,658
1374,678
1373,698
1373,699
1374,679
1375,659
1375,658
1381,639
1382,638
1387,626
1391,619
1391,627
1391,640
1388,660
1388,661
1381,679
1373,698
1373,699
1380,680
1388,662
1388,661
1400,644
1400,644
1409,634
1415,628
1413,637
1408,649
1399,666
1399,667
1386,683
1373,698
1373,699
1386,683
1398,668
1399,667
1415,655
1416,655
1427,648
1435,645
1430,652
1422,662
1408,676
1408,677
1391,688
1374,698
1373,699
1390,688
1407,677
1408,677
1426,671
1427,670
1440,668
1448,667
1442,672
1431,679
1413,688
1413,689
1393,694
1374,698
1373,699
1392,694
1412,689
1413,689
1433,689
1433,689
1446,690
1454,692
1446,695
1434,698
1415,701
1414,702
1394,700
1374,699
1373,699
1393,700
1413,702
1414,702
1433,708
1434,708
1445,713
1453,717
1444,718
1431,717
1412,714
1411,714
1392,707
1374,699
1373,699
1365,717
1358,736
1350,754
1343,773
1342,775
1355,782
1369,776
1356,769
1342,775
1361,769
1362,769
1369,750
1370,749
1350,755
1350,755
1343,774
1342,775
1361,781
1371,784
1387,772
1395,766
1376,760
1366,757
1350,769
1342,775
1336,794
1330,813
1324,832
1317,851
1316,855
1322,850
1322,842
1315,847
1316,855
1313,848
1306,845
1308,853
1316,855
1328,859
1339,851
1326,848
1316,855
1313,875
1309,895
1306,915
1302,934
1301,942
1296,933
1287,932
1292,941
1301,942
1309,941
1313,934
1305,935
1301,942
1300,962
1298,982
1296,1002
1295,1022
1294,1032
1284,1024
1271,1027
1281,1035
1294,1032
1290,1022
1279,1019
1283,1029
1294,1032
1288,1025
1278,1026
1284,1033
1294,1032
1294,1052
1295,1072
1295,1092
1295,1112
1296,1126
1303,1128
1308,1124
1301,1121
1296,1126
1294,1146
1293,1166
1292,1186
1291,1206
1290,1222
1287,1216
1280,1215
1283,1221
1290,1222
1291,1242
1293,1262
1294,1282
1295,1302
1297,1321
1299,1301
1302,1281
1305,1261
1308,1241
1310,1222
1309,1202
1308,1182
1307,1162
1306,1142
1305,1124
1305,1104
1306,1084
1306,1064
1306,1044
1306,1028
1306,1008
1306,988
1306,968
1306,948
1306,935
1306,915
1306,895
1305,875
1305,855
1305,845
1302,825
1300,805
1298,785
1295,765
1295,758
1295,738
1295,718
1295,698
1295,678
1295,673
1303,655
1312,637
1321,619
1330,601
1330,600
1315,586
1300,573
1300,573
1288,556
1287,556
1281,544
1278,536
1286,541
1295,549
1309,563
1310,564
1320,581
1330,599
1330,600
1320,582
1310,565
1310,564
1304,545
1304,544
1302,532
1301,523
1307,530
1314,540
1322,559
1322,559
1326,579
1330,599
1330,600
1326,580
1323,560
1322,559
1323,539
1323,539
1325,526
1327,518
1330,526
1333,538
1336,558
1336,559
1333,579
1331,599
1330,600
1333,580
1335,560
1336,559
1343,540
1343,539
1349,528
1354,521
1354,530
1353,542
1349,562
1348,563
1340,581
1331,599
1330,600
1339,582
1348,564
1348,563
1361,547
1362,546
1371,538
1378,533
1375,541
1370,552
1360,570
1359,570
1345,585
1331,599
1330,600
1345,585
1359,571
1359,570
1376,560
1377,559
1388,554
1397,551
1392,558
1383,568
1368,580
1367,581
1349,590
1331,599
1330,600
1348,591
1366,582
1367,581
1387,576
1387,576
1400,575
1409,575
1402,580
1390,586
1372,593
1371,594
1351,597
1331,599
1330,600
1350,597
1370,594
1371,594
1391,596
1392,596
1404,598
1412,601
1404,604
1392,606
1372,607
1371,607
1351,603
1331,600
1330,600
1322,618
1313,636
1304,654
1296,672
1295,673
1309,660
1307,641
1293,654
1295,673
1278,663
1261,652
1248,644
1230,651
1211,659
1197,664
1214,675
1231,685
1244,693
1262,686
1281,679
1295,673
1295,693
1295,713
1295,733
1295,753
1295,758
1281,744
1276,738
1256,741
1249,742
1263,756
1268,761
1287,759
1295,758
1315,759
1335,760
1343,760
1355,744
1368,729
1373,723
1353,722
1333,721
1325,721
1312,736
1300,752
1295,758
1314,761
1319,762
1334,748
1337,744
1317,741
1312,740
1298,754
1295,758
1297,778
1299,798
1302,817
1304,837
1305,845
1304,837
1298,833
1298,840
1305,845
1297,832
1283,830
1290,843
1305,845
1317,840
1321,828
1308,832
1305,845
1294,838
1282,843
1293,850
1305,845
1305,865
1305,885
1306,905
1306,925
1306,935
1313,932
1314,925
1308,928
1306,935
1315,941
1326,937
1317,931
1306,935
1306,955
1306,975
1306,995
1306,1015
1306,1028
1302,1023
1295,1023
1299,1028
1306,1028
1303,1022
1296,1021
1299,1027
1306,1028
1306,1048
1306,1068
1306,1088
1305,1108
1305,1124
1298,1120
1292,1124
1299,1127
1305,1124
1309,1118
1306,1111
1302,1117
1305,1124
1306,1144
1307,1164
1308,1184
1309,1204
1310,1222
1319,1228
1329,1225
1320,1219
1310,1222
1320,1223
1326,1216
1316,1215
1310,1222
1308,1242
1305,1262
1302,1282
1299,1301
1297,1321
1290,1313
1280,1315
1287,1322
1297,1321
1296,1341
1296,1361
1295,1381
1294,1401
1294,1421
1293,1441
1293,1443
1286,1435
1275,1437
1283,1444
1293,1443
1293,1463
1293,1483
1292,1503
1292,1523
1292,1543
1291,1563
1291,1568
1291,1588
1291,1608
1291,1628
1291,1648
1291,1668
1291,1688
1291,1696
1291,1716
1290,1736
1290,1756
1290,1776
1289,1796
1289,1816
1288,1827
1288,1847
1287,1867
1286,1887
1285,1907
1285,1927
1284,1946
1283,1960
1282,1940
1281,1920
1281,1900
1280,1880
1279,1860
1279,1856
1277,1836
1275,1816
1273,1796
1271,1776
1269,1756
1269,1755
1266,1735
1263,1716
1259,1696
1256,1676
1253,1658
1250,1638
1247,1618
1243,1598
1240,1579
1238,1563
1235,1543
1232,1524
1230,1504
1227,1484
1225,1471
1223,1451
1220,1431
1218,1411
1216,1392
1214,1382
1217,1362
1219,1342
1221,1322
1223,1302
1224,1295
1234,1278
1245,1261
1255,1244
1266,1227
1269,1222
1271,1202
1273,1182
1275,1162
1277,1143
1277,1141
1261,1137
1249,1148
1265,1152
1277,1141
1275,1161
1273,1180
1271,1200
1269,1220
1269,1222
1266,1213
1257,1210
1260,1219
1269,1222
1258,1239
1248,1256
1237,1273
1226,1290
1224,1295
1241,1287
1246,1268
1228,1276
1224,1295
1212,1278
1200,1262
1200,1262
1180,1261
1160,1261
1160,1261
1171,1277
1183,1293
1183,1294
1203,1294
1223,1295
1224,1295
1222,1314
1219,1334
1217,1354
1215,1374
1214,1382
1197,1377
1182,1387
1200,1392
1214,1382
1200,1367
1195,1362
1175,1365
1168,1366
1182,1380
1187,1385
1207,1383
1214,1382
1200,1378
1189,1388
1203,1391
1214,1382
1217,1401
1219,1421
1222,1441
1224,1461
1225,1471
1214,1461
1198,1464
1210,1474
1225,1471
1239,1474
1249,1465
1236,1462
1225,1471
1242,1471
1252,1457
1235,1457
1225,1471
1228,1491
1231,1511
1233,1530
1236,1550
1238,1563
1244,1561
1246,1554
1239,1556
1238,1563
1230,1554
1219,1554
1226,1563
1238,1563
1245,1560
1246,1552
1239,1555
1238,1563
1241,1583
