x,y
80,1960
164,1960
248,1960
332,1960
416,1960
500,1960
584,1960
668,1960
752,1960
836,1960
920,1960
1004,1960
1088,1960
1172,1960
1256,1960
1340,1960
1424,1960
1508,1960
1592,1960
1676,1960
1760,1960
1844,1960
1652,1960
1650,1876
1649,1864
1627,1783
1624,1772
1610,1689
1608,1680
1601,1597
1601,1590
1577,1510
1575,1505
1580,1422
1580,1420
1575,1336
1575,1336
1641,1283
1641,1283
1607,1207
1626,1128
1601,1095
1592,1076
1588,1064
1588,1055
1595,1061
1603,1071
1613,1089
1626,1128
1613,1089
1612,1068
1613,1055
1616,1046
1620,1054
1624,1066
1628,1087
1626,1128
1628,1087
1634,1067
1639,1055
1645,1048
1647,1057
1646,1070
1642,1090
1626,1128
1642,1090
1655,1073
1663,1064
1671,1060
1670,1069
1665,1080
1654,1098
1626,1128
1654,1098
1672,1087
1683,1082
1692,1080
1688,1088
1679,1097
1663,1110
1626,1128
1607,1207
1614,1199
1611,1188
1604,1197
1607,1207
1641,1283
1607,1249
1560,1255
1593,1289
1641,1283
1575,1335
1575,1336
1576,1315
1559,1302
1559,1323
1575,1336
1570,1326
1559,1323
1564,1333
1575,1336
1580,1419
1580,1420
1572,1394
1546,1385
1554,1411
1580,1420
1575,1503
1575,1505
1597,1502
1607,1483
1586,1486
1575,1505
1600,1586
1601,1590
1606,1583
1603,1576
1599,1582
1601,1590
1608,1674
1608,1680
1622,1763
1624,1772
1623,1760
1614,1754
1614,1765
1624,1772
1646,1853
1649,1864
1702,1879
1745,1846
1693,1831
1649,1864
1652,1876
1663,1882
1660,1870
1649,1864
1652,1948
1652,1960
1641,1877
1641,1872
1613,1792
1612,1790
1637,1710
1637,1709
1588,1642
1609,1563
1588,1642
1637,1709
1612,1790
1612,1790
1620,1783
1619,1773
1611,1779
1612,1790
1640,1869
1641,1872
1637,1850
1617,1841
1621,1862
1641,1872
1666,1878
1687,1861
1661,1855
1641,1872
1651,1955
1652,1960
