x,y
1068,1395
1068,1395
1048,1394
1028,1393
1010,1392
1068,1395
1048,1393
1028,1390
1009,1387
992,1385
1068,1395
1048,1391
1029,1387
1009,1383
1001,1381
1068,1395
1049,1390
1030,1385
1021,1382
1068,1395
1049,1389
1030,1382
1024,1380
1068,1395
1050,1387
1031,1379
1013,1371
1007,1369
1068,1395
1050,1386
1033,1377
1015,1367
998,1359
1068,1395
1051,1385
1034,1374
1017,1364
1016,1363
1068,1395
1052,1384
1036,1372
1033,1370
1068,1395
1053,1383
1037,1370
1026,1360
1068,1395
1054,1382
1039,1368
1025,1354
1014,1344
1068,1395
1055,1381
1041,1366
1028,1351
1020,1342
1068,1395
1056,1380
1043,1364
1036,1355
1068,1395
1057,1379
1046,1362
1043,1359
1068,1395
1058,1378
1048,1361
1038,1344
1036,1340
1068,1395
1059,1377
1050,1359
1042,1342
1033,1324
1032,1322
1068,1395
1060,1377
1053,1358
1045,1340
1044,1336
1068,1395
1062,1376
1056,1357
1054,1353
1068,1395
1063,1376
1058,1357
1055,1345
1068,1395
1064,1376
1061,1356
1057,1336
1055,1325
1068,1395
1066,1375
1064,1356
1062,1336
1060,1321
1068,1395
1067,1375
1067,1355
1066,1340
1068,1395
1069,1375
1069,1355
1069,1353
1068,1395
1070,1375
1072,1356
1074,1336
1074,1334
1068,1395
1071,1376
1075,1356
1078,1336
1082,1318
1068,1395
1073,1376
1078,1357
1082,1337
1084,1331
1068,1395
1074,1376
1080,1357
1082,1351
1068,1395
1075,1377
1083,1358
1086,1350
1068,1395
1077,1377
1086,1359
1094,1341
1098,1334
1068,1395
1078,1378
1088,1361
1098,1343
1106,1329
1068,1395
1079,1379
1090,1362
1101,1347
1068,1395
1080,1380
1093,1364
1093,1363
1068,1395
1081,1380
1095,1366
1107,1352
1068,1395
1082,1381
1097,1368
1111,1354
1123,1342
1068,1395
1083,1382
1099,1370
1114,1357
1121,1351
1068,1395
1084,1384
1100,1372
1108,1366
1068,1395
1085,1385
1102,1374
1107,1371
1068,1395
1086,1386
1103,1377
1121,1367
1126,1364
1068,1395
1086,1387
1105,1379
1123,1371
1141,1363
1068,1395
1087,1389
1106,1382
1124,1375
1126,1374
1068,1395
1087,1390
1106,1384
1109,1384
814,1484
798,1496
781,1507
781,1507
814,1484
797,1494
780,1505
764,1514
814,1484
796,1493
778,1502
761,1511
745,1519
814,1484
796,1492
777,1500
759,1508
752,1511
814,1484
795,1491
776,1497
769,1500
814,1484
795,1489
775,1494
768,1496
814,1484
794,1488
775,1492
755,1495
748,1497
814,1484
794,1486
774,1489
754,1491
737,1493
814,1484
794,1485
774,1486
756,1487
814,1484
794,1484
774,1483
773,1483
814,1484
794,1482
774,1481
756,1479
814,1484
794,1481
774,1478
755,1475
738,1472
814,1484
794,1480
775,1475
756,1470
748,1469
814,1484
795,1478
776,1472
768,1470
814,1484
795,1477
777,1470
770,1467
814,1484
796,1476
778,1467
760,1459
753,1456
814,1484
796,1474
779,1465
762,1455
746,1446
814,1484
797,1473
780,1462
765,1452
814,1484
798,1472
782,1460
781,1459
814,1484
799,1471
784,1458
771,1446
814,1484
800,1470
786,1456
772,1442
760,1430
814,1484
801,1469
788,1454
775,1439
769,1432
814,1484
802,1468
790,1452
785,1445
814,1484
803,1467
792,1450
788,1444
814,1484
804,1467
795,1449
785,1431
782,1425
814,1484
806,1466
797,1448
789,1430
781,1414
814,1484
807,1465
800,1447
793,1429
814,1484
808,1465
802,1446
802,1444
814,1484
810,1465
805,1445
801,1428
814,1484
811,1464
808,1445
805,1425
802,1409
814,1484
812,1464
811,1444
809,1424
808,1416
814,1484
814,1464
813,1444
813,1435
814,1484
815,1464
816,1444
817,1437
814,1484
816,1464
819,1444
822,1425
822,1418
814,1484
818,1464
822,1445
826,1425
829,1408
814,1484
819,1465
825,1445
830,1427
814,1484
821,1465
827,1446
828,1445
814,1484
822,1466
830,1447
836,1432
814,1484
823,1466
832,1449
842,1431
849,1417
814,1484
824,1467
835,1450
845,1433
850,1425
814,1484
826,1468
837,1451
842,1444
814,1484
827,1469
839,1453
844,1448
814,1484
828,1470
841,1455
855,1440
860,1436
814,1484
829,1471
843,1457
858,1443
872,1431
814,1484
830,1472
845,1459
861,1447
814,1484
830,1473
847,1461
848,1460
843,1215
843,1215
830,1199
818,1183
807,1169
843,1215
832,1198
821,1182
809,1165
801,1152
843,1215
833,1198
823,1180
813,1163
804,1146
843,1215
834,1197
825,1179
817,1161
814,1155
843,1215
835,1196
828,1178
826,1172
843,1215
837,1196
831,1177
828,1168
843,1215
838,1195
833,1176
829,1157
826,1147
843,1215
839,1195
836,1175
833,1156
829,1136
829,1135
843,1215
841,1195
839,1175
837,1155
836,1142
843,1215
842,1195
842,1175
841,1161
843,1215
844,1195
844,1175
845,1172
