x,y
2005,1411
2005,1411
2000,1391
1995,1372
1990,1352
1990,1351
2005,1411
2001,1391
1998,1371
1995,1351
1992,1334
2005,1411
2003,1391
2001,1371
1999,1351
1998,1336
2005,1411
2005,1391
2004,1371
2004,1356
2005,1411
2006,1391
2008,1371
2008,1365
2005,1411
2008,1391
2011,1371
2014,1351
2015,1344
2005,1411
2009,1391
2014,1372
2019,1352
2023,1333
2023,1332
2005,1411
2011,1392
2017,1372
2023,1353
2026,1343
2005,1411
2012,1392
2020,1374
2023,1366
2005,1411
2014,1393
2023,1375
2028,1366
2005,1411
2015,1394
2026,1376
2036,1359
2043,1348
2005,1411
2017,1394
2028,1378
2040,1362
2052,1346
2005,1411
2018,1395
2031,1380
2044,1365
2047,1361
2005,1411
2019,1396
2033,1382
2036,1380
2005,1411
2020,1398
2035,1385
2048,1374
2005,1411
2021,1399
2037,1387
2054,1376
2067,1366
2005,1411
2022,1400
2039,1390
2056,1380
2071,1371
2005,1411
2023,1402
2041,1393
2058,1384
1547,1382
1527,1380
1507,1379
1506,1379
1547,1382
1527,1379
1507,1376
1488,1373
1486,1373
1547,1382
1528,1377
1508,1373
1488,1369
1470,1365
1547,1382
1528,1376
1509,1370
1490,1364
1479,1361
1547,1382
1528,1374
1510,1367
1502,1364
1547,1382
1529,1373
1511,1364
1502,1360
1547,1382
1530,1371
1513,1361
1495,1351
1484,1344
1547,1382
1531,1370
1514,1358
1498,1347
1483,1337
1547,1382
1532,1369
1516,1356
1501,1343
1547,1382
1533,1368
1519,1354
1517,1352
1547,1382
1534,1366
1521,1351
1508,1336
1506,1334
1547,1382
1535,1365
1523,1349
1511,1333
1500,1317
1547,1382
1537,1365
1526,1348
1515,1331
1510,1322
1547,1382
1538,1364
1529,1346
1525,1339
1547,1382
1539,1363
1532,1345
1527,1334
1547,1382
1541,1362
1535,1343
1528,1324
1524,1311
1547,1382
1542,1362
1538,1343
1533,1323
1529,1307
1547,1382
1544,1362
1541,1342
1538,1324
1547,1382
1546,1362
1544,1342
1544,1339
1547,1382
1547,1362
1547,1342
1547,1322
1547,1317
1547,1382
1549,1362
1550,1342
1552,1322
1554,1302
1554,1301
1547,1382
1550,1362
1554,1342
1557,1322
1558,1314
1547,1382
1552,1362
1557,1343
1558,1337
1419,1301
1419,1301
1408,1283
1398,1266
1387,1249
1386,1248
1419,1301
1410,1283
1401,1265
1392,1247
1384,1232
1419,1301
1411,1282
1403,1264
1396,1245
1389,1228
1419,1301
1412,1281
1406,1262
1400,1243
1399,1239
1419,1301
1414,1281
1410,1262
1409,1258
1419,1301
1416,1281
1413,1261
1410,1244
1419,1301
1417,1281
1416,1261
1414,1241
1413,1225
1419,1301
1419,1281
1419,1261
1419,1241
1420,1221
1419,1301
1420,1281
1422,1261
1424,1241
1425,1233
1419,1301
1422,1281
1425,1261
1426,1255
1419,1301
1424,1281
1429,1262
1432,1249
1419,1301
1425,1282
1432,1263
1438,1244
1443,1230
1419,1301
1427,1282
1435,1264
1443,1246
1451,1227
1451,1226
1419,1301
1428,1283
1437,1265
1447,1248
1452,1237
1419,1301
1429,1284
1440,1267
1445,1259
1713,1960
1727,1946
1741,1932
1755,1917
1769,1903
1783,1889
1785,1886
1798,1871
1811,1855
1823,1840
1836,1824
1849,1809
1849,1809
1864,1795
1878,1781
1892,1767
1907,1753
1920,1740
1922,1720
1923,1700
1924,1680
1926,1660
1927,1651
1931,1631
1934,1611
1938,1592
1942,1572
1943,1565
1950,1546
1956,1527
1963,1508
1969,1489
1971,1485
1979,1467
1987,1449
1996,1431
2004,1412
2005,1411
1998,1392
1992,1373
1992,1372
1990,1352
1990,1351
1990,1338
1993,1329
1999,1337
2003,1349
2007,1369
2007,1370
2006,1390
2005,1410
2005,1411
2006,1391
2007,1371
2007,1370
2012,1350
2013,1350
2018,1338
2024,1331
2027,1340
2026,1353
2022,1372
2022,1373
2013,1391
2005,1410
2005,1411
2013,1392
2021,1374
2022,1373
2034,1357
2035,1357
2044,1348
2052,1344
2051,1353
2046,1365
2035,1381
2034,1382
2020,1396
2005,1410
2005,1411
2019,1397
2034,1383
2034,1382
2052,1372
2052,1372
2064,1367
2074,1366
2069,1374
2060,1383
2043,1395
2043,1395
2024,1403
2006,1410
2005,1411
1996,1429
1988,1447
1980,1465
1972,1483
1971,1485
1986,1496
2004,1491
1989,1480
1971,1485
1985,1477
1986,1461
1972,1469
1971,1485
1971,1474
1962,1467
1962,1478
1971,1485
1964,1504
1958,1523
1951,1542
1945,1561
1943,1565
1954,1576
1969,1573
1958,1563
1943,1565
1962,1567
1975,1553
1956,1551
1943,1565
1933,1552
1916,1552
1926,1565
1943,1565
1942,1545
1942,1542
1926,1530
1922,1528
1924,1548
1924,1552
1940,1563
1943,1565
1940,1585
1936,1604
1932,1624
1928,1644
1927,1651
1946,1653
1959,1639
1940,1637
1927,1651
1912,1638
1909,1636
1890,1640
1887,1641
1902,1654
1904,1656
1924,1651
1927,1651
1925,1631
1924,1624
1907,1613
1901,1610
1903,1630
1903,1637
1921,1647
1927,1651
1925,1671
1924,1691
1922,1711
1921,1730
1920,1740
1928,1740
1932,1734
1924,1734
1920,1740
1927,1738
1929,1732
1922,1734
1920,1740
1939,1746
1959,1751
1964,1753
1979,1741
1995,1729
2000,1726
1980,1720
1961,1714
1956,1713
1940,1725
1924,1737
1920,1740
1930,1733
1931,1721
1920,1728
1920,1740
1906,1754
1891,1768
1877,1782
1863,1796
1849,1809
1842,1792
1824,1788
1831,1805
1849,1809
1850,1800
1843,1794
1842,1803
1849,1809
1857,1803
1858,1793
1850,1799
1849,1809
1831,1801
1813,1793
1799,1787
1782,1797
1765,1806
1752,1813
1770,1822
1789,1830
1802,1835
1819,1826
1837,1816
1849,1809
1836,1824
1824,1840
1811,1855
1798,1870
1786,1886
1785,1886
1799,1886
1807,1875
1793,1876
1785,1886
1798,1901
1800,1903
1820,1901
1821,1901
1808,1886
1807,1885
1787,1886
1785,1886
1787,1900
1800,1907
1798,1893
1785,1886
1771,1900
1757,1915
1743,1929
1729,1943
1715,1957
1713,1960
1704,1942
1696,1924
1688,1905
1680,1887
1671,1869
1665,1855
1653,1840
1641,1824
1629,1808
1616,1792
1604,1776
1602,1774
1595,1755
1589,1736
1582,1717
1575,1698
1570,1682
1566,1662
1563,1643
1560,1623
1556,1603
1554,1592
1550,1572
1546,1553
1541,1533
1537,1514
1535,1505
1550,1491
1564,1477
1579,1464
1593,1450
1595,1448
1583,1432
1572,1416
1560,1399
1548,1383
1547,1382
1527,1380
1507,1379
1506,1379
1487,1374
1486,1373
1475,1368
1467,1363
1476,1361
1489,1361
1509,1365
1510,1365
1528,1373
1546,1381
1547,1382
1529,1373
1510,1365
1510,1365
1494,1353
1493,1353
1484,1344
1479,1336
1488,1337
1500,1342
1517,1353
1518,1353
1532,1367
1546,1381
1547,1382
1533,1368
1518,1354
1518,1353
1507,1336
1506,1335
1501,1324
1499,1315
1507,1319
1516,1328
1529,1344
1529,1345
1538,1363
1547,1381
1547,1382
1538,1363
1530,1345
1529,1345
1525,1325
1525,1324
1524,1311
1526,1302
1532,1309
1537,1321
1543,1340
1544,1341
1545,1361
1547,1381
1547,1382
1545,1362
1544,1342
1544,1341
1546,1321
1547,1320
1550,1308
1555,1300
1558,1309
1559,1321
1558,1341
1558,1342
1553,1361
1547,1381
1547,1382
1559,1398
1570,1414
1582,1430
1594,1446
1595,1448
1604,1445
1608,1436
1598,1439
1595,1448
1601,1462
1615,1466
1610,1452
1595,1448
1594,1458
1602,1465
1603,1455
1595,1448
1580,1462
1566,1476
1551,1489
1537,1503
1535,1505
1524,1488
1514,1471
1503,1454
1492,1438
1489,1434
1473,1422
1457,1410
1441,1398
1425,1387
1419,1383
1419,1363
1419,1343
1419,1323
1419,1303
1419,1301
1424,1293
1421,1284
1415,1292
1419,1301
1407,1284
1395,1268
1394,1267
1387,1249
1386,1248
1383,1236
1385,1226
1394,1231
1401,1242
1409,1260
1410,1260
1414,1280
1418,1300
1419,1301
1414,1281
1410,1261
1410,1260
1410,1240
1410,1240
1412,1227
1418,1219
1424,1227
1426,1239
1427,1259
1427,1260
1423,1280
1419,1300
1419,1301
1422,1281
1426,1261
1427,1260
1435,1242
1435,1241
1442,1231
1451,1225
1453,1235
1450,1248
1442,1266
1442,1267
1431,1283
1419,1300
1419,1301
1419,1321
1419,1341
1419,1361
1419,1381
1419,1383
1403,1370
1397,1365
1378,1371
1370,1373
1386,1385
1392,1390
1412,1385
1419,1383
1406,1368
1392,1353
1384,1345
1365,1347
1345,1349
1333,1350
1347,1365
1360,1379
1368,1388
1388,1386
1408,1384
1419,1383
1427,1374
1425,1363
1417,1371
1419,1383
1435,1394
1451,1406
1468,1418
1484,1430
1489,1434
1494,1427
1492,1418
1487,1426
1489,1434
1500,1451
1511,1468
1522,1484
1533,1501
1535,1505
1549,1510
1561,1503
1548,1497
1535,1505
1520,1491
1518,1489
1498,1492
1494,1493
1509,1507
1512,1509
1531,1506
1535,1505
1554,1502
1563,1485
1544,1488
1535,1505
1539,1524
1544,1544
1548,1564
1552,1583
1554,1592
1565,1588
1569,1577
1558,1581
1554,1592
1574,1596
1580,1597
1595,1583
1599,1579
