x,y
60,1470
65,1470
70,1470
75,1470
80,1470
85,1470
90,1470
95,1470
100,1470
105,1470
110,1470
115,1470
120,1470
125,1470
130,1470
135,1470
140,1470
145,1470
150,1470
155,1470
160,1470
165,1470
170,1470
175,1470
180,1470
185,1470
190,1470
195,1470
200,1470
205,1470
210,1470
215,1470
220,1470
225,1470
230,1470
235,1470
240,1470
245,1470
250,1470
255,1470
260,1470
265,1470
270,1470
275,1470
280,1470
285,1470
290,1470
295,1470
300,1470
305,1470
310,1470
315,1470
320,1470
325,1470
330,1470
335,1470
340,1470
345,1470
350,1470
355,1470
360,1470
365,1470
370,1470
375,1470
380,1470
385,1470
390,1470
395,1470
400,1470
405,1470
410,1470
415,1470
420,1470
425,1470
430,1470
435,1470
440,1470
445,1470
450,1470
455,1470
460,1470
465,1470
470,1470
475,1470
480,1470
485,1470
490,1470
495,1470
500,1470
505,1470
510,1470
515,1470
520,1470
525,1470
530,1470
535,1470
540,1470
545,1470
550,1470
555,1470
560,1470
565,1470
570,1470
575,1470
580,1470
585,1470
590,1470
595,1470
600,1470
605,1470
610,1470
615,1470
620,1470
625,1470
630,1470
635,1470
640,1470
645,1470
650,1470
655,1470
660,1470
665,1470
670,1470
675,1470
680,1470
685,1470
690,1470
695,1470
700,1470
705,1470
710,1470
715,1470
720,1470
725,1470
730,1470
735,1470
740,1470
745,1470
750,1470
755,1470
760,1470
765,1470
770,1470
775,1470
780,1470
785,1470
790,1470
795,1470
800,1470
805,1470
810,1470
815,1470
820,1470
825,1470
830,1470
835,1470
840,1470
845,1470
850,1470
855,1470
860,1470
865,1470
870,1470
875,1470
880,1470
885,1470
890,1470
895,1470
900,1470
905,1470
910,1470
915,1470
920,1470
925,1470
930,1470
935,1470
940,1470
945,1470
950,1470
955,1470
960,1470
965,1470
970,1470
975,1470
980,1470
985,1470
990,1470
995,1470
1000,1470
1005,1470
1010,1470
1015,1470
1020,1470
1025,1470
1030,1470
1035,1470
1040,1470
1045,1470
1050,1470
1055,1470
1060,1470
1065,1470
1070,1470
1075,1470
1080,1470
1085,1470
1090,1470
1095,1470
1100,1470
1105,1470
1110,1470
1115,1470
1120,1470
1125,1470
1130,1470
1135,1470
1140,1470
1145,1470
1150,1470
1155,1470
1160,1470
1165,1470
1170,1470
1175,1470
1180,1470
1185,1470
1190,1470
1195,1470
1200,1470
1205,1470
1210,1470
1215,1470
1220,1470
1225,1470
1230,1470
1235,1470
1240,1470
1245,1470
1250,1470
1255,1470
1260,1470
1265,1470
1270,1470
1275,1470
1280,1470
1285,1470
1290,1470
1295,1470
1300,1470
1305,1470
1310,1470
1315,1470
1320,1470
1325,1470
1330,1470
1335,1470
1340,1470
1345,1470
1350,1470
1355,1470
1360,1470
1365,1470
1370,1470
1375,1470
1380,1470
1385,1470
1390,1470
1395,1470
1400,1470
1405,1470
1410,1470
1415,1470
1420,1470
1425,1470
1430,1470
1435,1470
365,1032
365,1032
365,1032
365,1032
365,1032
365,1032
365,1032
365,1032
365,1032
364,1027
362,1023
361,1018
359,1013
358,1008
356,1004
355,999
354,995
365,1032
364,1027
363,1022
362,1018
361,1013
360,1008
359,1003
358,998
357,993
356,988
355,983
354,978
353,976
365,1032
365,1027
364,1022
364,1017
363,1012
363,1007
362,1002
362,997
361,992
361,987
360,984
365,1032
365,1027
365,1022
365,1017
365,1012
365,1007
365,1002
365,1001
365,1032
366,1027
366,1022
367,1017
367,1012
368,1007
368,1002
369,997
369,992
370,987
370,982
370,982
365,1032
366,1027
367,1022
368,1017
369,1013
370,1008
371,1003
372,998
373,993
374,988
375,983
376,978
376,977
365,1032
367,1027
368,1023
370,1018
371,1013
373,1008
374,1003
375,999
376,997
365,1032
367,1028
369,1023
371,1018
373,1014
375,1009
377,1004
379,1000
381,995
381,994
365,1032
368,1028
370,1023
372,1019
375,1015
377,1010
380,1006
382,1001
384,997
387,993
389,988
391,984
394,980
365,1032
368,1028
371,1024
374,1020
377,1016
379,1011
382,1007
385,1003
388,999
391,995
391,994
365,1032
369,1028
372,1025
375,1021
378,1017
381,1013
385,1009
387,1007
365,1032
369,1029
373,1025
376,1022
380,1018
383,1015
387,1011
390,1008
394,1004
397,1001
401,997
403,995
365,1032
369,1029
373,1026
377,1023
381,1020
385,1017
389,1013
393,1010
397,1007
400,1004
404,1001
408,998
475,759
475,759
475,759
475,759
475,759
475,759
475,759
475,759
475,759
475,759
472,755
469,751
466,747
463,743
460,739
456,735
453,731
453,731
475,759
472,755
469,750
467,746
464,742
462,738
459,733
456,729
454,725
451,721
448,716
446,712
445,711
475,759
473,754
470,750
468,746
466,741
464,737
462,732
459,728
457,723
455,719
453,714
451,710
450,708
475,759
473,754
471,750
470,745
468,740
466,736
464,731
463,726
462,724
475,759
473,754
472,749
471,744
470,740
468,735
467,730
466,725
465,720
