x,y
0,0
75,0
150,0
225,0
10,-250
233,15
234,28
233,48
229,65
221,83
218,97
222,112
217,123
216,137
217,151
217,168
212,180
213,196
199,209
185,215
184,237
193,250
184,240
201,239
187,237
199,239
183,238
202,240
185,236
199,239
182,237
196,239
183,237
200,239
186,236
203,240
184,238
200,239
187,237
202,239
185,240
200,241
187,242
200,243
188,242
186,227
201,210
216,197
215,181
220,169
220,152
219,138
221,124
226,113
222,98
225,84
233,66
238,49
238,29
238,16
245,1
242,-12
238,-34
237,-46
237,-59
239,-82
242,-106
242,-119
240,-132
238,-144
235,-157
231,-171
227,-185
226,-197
218,-218
204,-238
197,-254
194,-267
193,-280
186,-300
169,-318
161,-327
151,-341
145,-352
141,-365
128,-373
134,-384
128,-372
113,-374
112,-387
129,-394
143,-394
141,-374
137,-356
133,-344
123,-337
110,-328
123,-337
133,-344
138,-356
142,-374
147,-390
130,-394
112,-387
114,-374
130,-370
135,-381
123,-381
133,-374
131,-386
136,-372
145,-363
149,-350
158,-337
173,-321
181,-311
195,-293
198,-270
201,-256
208,-241
217,-230
227,-210
231,-187
235,-173
239,-160
242,-147
244,-134
247,-122
247,-108
245,-96
242,-73
242,-49
243,-37
247,-14
248,4
243,16
244,28
247,45
244,63
244,76
247,91
252,105
258,117
267,127
261,139
257,151
259,165
263,180
253,188
240,196
232,207
223,215
231,231
217,242
205,249
196,237
184,241
200,240
184,241
201,240
184,239
203,237
186,235
199,239
183,238
203,238
185,235
197,237
184,238
199,240
187,235
204,238
185,240
202,241
185,242
201,242
185,242
201,242
198,254
212,243
231,242
227,229
226,216
235,208
256,192
266,184
262,169
261,154
264,143
271,131
262,121
256,110
251,96
248,81
248,69
252,51
248,33
248,21
253,10
255,-3
253,-23
253,-45
255,-66
253,-86
254,-110
253,-123
251,-138
250,-153
249,-168
249,-180
248,-200
241,-216
229,-234
219,-243
208,-254
202,-267
202,-281
200,-301
192,-326
189,-338
182,-350
170,-343
157,-345
145,-343
133,-342
114,-340
98,-337
89,-354
86,-367
79,-382
71,-399
51,-424
29,-437
9,-434
-6,-430
-21,-423
-21,-399
-18,-383
-20,-400
-17,-413
-6,-431
10,-436
30,-439
53,-425
72,-401
80,-383
88,-369
90,-356
97,-343
117,-342
135,-345
148,-346
160,-349
174,-347
184,-356
194,-344
196,-332
201,-317
206,-297
207,-273
213,-260
225,-248
235,-239
248,-222
255,-206
256,-186
256,-174
256,-159
258,-144
260,-129
261,-116
260,-103
261,-81
262,-61
260,-39
261,-18
264,2
262,17
267,33
269,52
272,70
276,86
282,102
281,119
289,134
296,145
302,156
296,167
293,183
288,200
269,210
255,226
244,236
235,246
217,241
206,248
190,243
201,237
183,236
199,238
185,238
199,239
185,241
201,238
185,240
199,240
186,237
201,240
186,239
202,241
184,241
201,242
199,258
211,247
230,250
244,248
258,233
273,218
292,207
298,191
302,175
307,165
301,154
294,143
286,128
287,112
282,96
277,79
274,62
272,43
268,27
270,12
270,-4
267,-26
264,-47
262,-65
257,-82
257,-105
258,-119
256,-133
254,-148
255,-163
256,-177
257,-197
250,-214
238,-231
230,-241
218,-251
208,-263
206,-276
208,-288
210,-301
209,-315
209,-331
211,-344
212,-363
208,-384
199,-395
187,-413
175,-423
163,-427
148,-431
138,-425
141,-410
148,-397
146,-380
139,-361
146,-381
149,-394
141,-407
140,-419
140,-433
155,-437
170,-433
185,-428
196,-412
212,-391
216,-371
216,-352
213,-339
213,-323
214,-308
212,-296
210,-283
213,-270
223,-258
235,-248
244,-239
256,-222
263,-205
263,-184
261,-171
261,-156
263,-140
264,-126
264,-112
263,-100
266,-80
270,-63
273,-44
276,-22
279,-1
277,16
278,33
284,49
289,66
294,82
301,96
301,111
308,125
313,140
313,153
308,164
297,174
290,186
281,198
270,203
258,218
249,230
236,242
221,239
205,249
191,241
203,237
185,234
199,236
186,239
199,235
186,233
203,236
191,236
199,248
211,234
230,237
243,229
255,214
265,203
282,188
291,176
297,164
308,153
312,142
313,128
309,113
302,98
302,83
295,69
290,53
286,36
280,20
279,3
275,-18
271,-38
266,-57
260,-74
258,-94
258,-119
257,-133
255,-148
256,-164
257,-177
258,-198
251,-215
240,-232
231,-241
220,-252
211,-263
208,-277
210,-289
213,-303
214,-318
216,-332
220,-344
223,-357
227,-373
229,-391
222,-406
213,-420
204,-435
195,-450
190,-462
196,-474
201,-485
203,-500
203,-516
210,-531
213,-554
207,-567
193,-574
180,-569
170,-561
155,-552
149,-538
132,-539
123,-554
121,-571
126,-583
123,-601
114,-612
97,-613
81,-607
97,-613
114,-611
123,-600
126,-582
121,-571
123,-554
133,-537
149,-536
151,-548
171,-556
181,-564
194,-569
208,-562
213,-549
211,-526
204,-511
204,-495
202,-480
197,-469
191,-457
196,-445
205,-430
214,-415
224,-401
230,-386
228,-369
224,-353
221,-340
218,-327
215,-314
215,-299
212,-285
210,-273
213,-259
221,-248
232,-238
241,-228
252,-211
259,-194
258,-173
257,-160
257,-144
259,-129
260,-115
259,-102
260,-79
265,-62
269,-45
274,-24
278,-4
275,12
274,30
277,46
281,62
285,77
292,93
290,111
299,126
306,141
306,156
300,171
293,181
288,197
269,207
255,223
244,234
236,244
218,240
207,248
194,246
185,237
202,239
185,236
199,236
186,239
199,236
186,238
200,236
185,235
202,238
185,236
201,236
187,235
202,236
186,237
202,238
217,239
230,239
243,232
253,224
263,208
280,195
293,182
293,170
304,158
307,143
304,126
296,109
295,92
291,75
286,61
282,46
278,29
276,12
280,-4
276,-24
271,-44
265,-62
260,-78
258,-99
259,-112
258,-125
256,-140
255,-156
256,-171
259,-192
254,-210
244,-226
228,-245
217,-255
209,-268
209,-282
212,-294
212,-310
213,-324
216,-338
221,-362
225,-377
224,-394
216,-408
208,-421
199,-435
190,-448
192,-467
197,-479
200,-492
202,-509
203,-521
211,-536
211,-560
201,-571
185,-574
165,-558
153,-552
147,-536
130,-541
120,-559
121,-579
122,-596
118,-608
103,-610
86,-607
103,-610
118,-608
122,-596
122,-579
120,-559
127,-547
140,-536
151,-541
166,-556
177,-565
202,-568
212,-557
214,-544
208,-523
203,-505
202,-489
199,-476
194,-464
192,-445
201,-432
210,-417
218,-405
226,-391
226,-374
223,-360
220,-346
215,-321
215,-307
214,-292
211,-279
211,-265
219,-252
230,-242
240,-233
252,-215
260,-200
260,-179
257,-153
259,-138
260,-123
261,-110
261,-97
263,-76
268,-59
274,-42
279,-22
280,-5
276,10
273,28
275,43
279,60
284,75
291,92
289,110
297,127
306,141
306,155
302,169
292,180
291,193
274,206
260,218
246,231
239,241
225,242
212,242
195,249
185,241
202,240
185,239
202,238
186,237
202,239
185,237
199,240
182,238
202,239
184,235
204,236
190,230
204,236
192,236
197,247
210,246
220,238
234,243
245,233
257,223
268,210
286,198
294,182
297,171
305,160
308,146
305,130
296,114
295,96
290,78
284,62
280,47
277,31
277,14
282,-2
282,-20
276,-39
269,-56
263,-73
259,-91
260,-115
259,-129
257,-144
257,-159
258,-174
260,-195
255,-213
245,-228
239,-239
229,-247
219,-258
213,-271
214,-285
217,-299
220,-315
224,-329
230,-343
236,-358
241,-376
239,-393
230,-407
218,-420
208,-436
199,-453
194,-466
201,-489
204,-505
204,-519
211,-535
212,-560
203,-571
188,-575
168,-563
156,-555
150,-540
136,-536
124,-550
118,-565
122,-583
122,-601
122,-583
118,-565
124,-550
137,-536
151,-540
150,-552
169,-562
179,-569
205,-570
213,-558
215,-545
209,-525
205,-504
203,-488
200,-476
202,-452
211,-435
220,-419
232,-406
241,-391
243,-375
238,-357
233,-342
227,-328
223,-314
220,-298
216,-284
215,-271
222,-257
232,-247
241,-238
248,-228
258,-212
263,-194
261,-173
260,-159
260,-143
262,-128
263,-114
263,-102
264,-80
270,-64
276,-47
283,-28
284,-12
283,0
278,14
278,32
285,48
290,65
297,80
307,93
305,107
310,118
316,129
316,117
318,105
307,99
290,101
281,109
306,110
318,104
301,97
311,87
299,84
323,73
333,65
349,61
333,65
323,73
299,84
311,87
300,93
307,103
289,111
297,98
315,98
321,108
319,121
310,112
311,99
308,87
297,73
292,57
286,40
280,23
285,7
288,-7
290,-19
285,-38
276,-54
268,-69
263,-85
262,-107
262,-120
261,-134
259,-149
260,-165
262,-178
263,-200
258,-217
249,-232
241,-243
232,-251
223,-262
220,-278
223,-295
229,-310
235,-324
243,-337
245,-354
250,-374
250,-390
246,-403
239,-420
228,-436
218,-458
215,-474
211,-501
210,-516
215,-541
209,-565
196,-573
182,-571
163,-556
151,-554
148,-536
130,-538
118,-558
120,-578
123,-594
120,-578
119,-558
125,-545
141,-535
151,-542
150,-555
165,-557
175,-566
198,-574
211,-567
216,-553
215,-528
214,-502
216,-487
220,-459
231,-437
241,-421
249,-404
253,-390
253,-375
248,-355
246,-338
239,-324
232,-311
226,-295
223,-278
227,-263
235,-252
245,-243
253,-233
262,-218
267,-200
266,-179
264,-166
263,-150
265,-135
266,-121
266,-107
267,-86
273,-70
281,-55
290,-39
295,-20
295,-3
291,12
289,30
295,48
296,68
306,84
307,97
307,110
315,120
316,133
316,119
318,106
306,102
291,100
281,108
313,108
318,93
308,84
318,70
320,56
335,52
320,56
318,70
304,79
308,93
314,108
292,113
297,99
316,100
318,112
319,124
319,136
314,122
310,110
310,96
304,83
300,64
295,45
293,26
297,10
301,-4
301,-20
295,-40
286,-56
277,-70
269,-85
266,-105
266,-118
265,-131
264,-146
264,-161
266,-174
268,-187
268,-207
262,-226
254,-244
247,-255
241,-266
239,-280
244,-296
253,-311
261,-325
265,-352
270,-372
275,-388
289,-394
309,-399
317,-412
325,-427
330,-441
331,-458
323,-470
309,-466
300,-457
310,-468
315,-479
333,-462
332,-444
327,-430
320,-415
311,-403
291,-398
277,-392
273,-376
267,-356
263,-340
255,-315
246,-299
241,-284
243,-270
249,-259
257,-247
265,-229
271,-211
271,-190
269,-178
267,-164
267,-149
268,-134
269,-121
269,-108
272,-88
280,-73
290,-60
299,-44
305,-24
309,-5
307,10
304,24
304,44
305,64
309,81
307,94
306,108
312,119
316,132
316,116
317,104
301,98
288,96
281,113
299,109
307,98
300,83
311,87
300,97
299,110
281,114
289,97
302,100
315,99
321,110
318,122
319,136
312,125
311,111
312,99
313,85
310,65
308,44
309,28
312,14
318,1
315,-19
311,-37
305,-57
298,-73
290,-88
287,-108
287,-121
284,-136
283,-149
285,-162
286,-177
287,-189
290,-213
294,-232
298,-244
298,-256
297,-270
307,-283
313,-296
310,-312
317,-338
314,-357
310,-370
307,-390
311,-402
321,-415
328,-431
334,-447
330,-462
319,-471
307,-462
296,-456
292,-443
304,-446
306,-461
305,-446
293,-442
294,-454
303,-462
312,-473
332,-468
336,-452
330,-436
324,-421
313,-407
309,-395
312,-375
316,-362
319,-343
316,-328
313,-308
314,-292
302,-283
299,-269
301,-255
297,-238
292,-219
292,-207
289,-183
288,-168
286,-155
287,-142
290,-127
291,-114
293,-94
302,-79
309,-63
315,-43
320,-25
322,-5
326,11
326,30
328,48
330,64
335,80
332,97
328,112
320,125
316,138
316,123
316,108
304,102
289,103
306,104
294,96
276,109
306,108
313,97
306,108
287,111
295,98
308,101
296,112
282,113
296,102
308,106
320,107
320,121
319,136
319,148
327,137
334,121
339,106
339,88
335,74
332,55
331,40
330,22
330,4
332,-15
332,-34
330,-55
330,-77
330,-99
330,-122
331,-135
331,-148
329,-161
323,-178
320,-190
318,-203
320,-219
319,-239
316,-259
321,-279
323,-299
319,-311
320,-324
321,-339
319,-354
314,-368
310,-388
310,-403
319,-416
326,-430
332,-446
329,-462
319,-471
308,-465
297,-457
292,-444
307,-451
299,-438
293,-449
304,-454
313,-465
331,-455
333,-439
328,-424
321,-410
312,-397
313,-381
